Benchmark,Memory Size,ARM Cold Avg (USD),ARM Warm Avg (USD),x86 Cold Avg (USD),x86 Warm Avg (USD)
110.dynamic-html,128,1.72060167,0.0469677,2.16277766,0.06016012
110.dynamic-html,256,1.6073467,0.03297296,2.05278277,0.03763208
110.dynamic-html,512,1.49086786,0.03467964,1.90583848,0.0491521
110.dynamic-html,1024,1.41531161,0.05625201,1.80872895,0.07168014
120.uploader,128,10.48478842,1.18030243,12.57192914,1.28397057
120.uploader,256,10.13143839,1.38841441,11.85359171,1.50750168
120.uploader,512,10.15389824,1.83529024,12.22402445,2.00840935
120.uploader,1024,11.55651218,2.82707334,13.23420247,3.25700918
210.thumbnailer,128,12.93455001,2.11405857,15.91640517,2.54746109
210.thumbnailer,256,12.53791869,2.15512118,15.25507051,2.5678558
210.thumbnailer,512,12.14128737,2.34565439,14.83540034,2.82726965
210.thumbnailer,1024,12.46528259,3.11379477,15.20779575,3.8854051
220.video-processing,512,81.43585038,64.02407692,87.8993118,64.83537234
220.video-processing,1024,81.81609761,64.59861206,87.87302908,65.81500096
220.video-processing,2048,89.57122972,68.50184651,97.97037194,71.12581692
220.video-processing,4096,121.19305396,83.31742565,140.83168433,87.42929486
311.compression,256,32.57018952,23.07745725,40.98363397,29.67173934
311.compression,512,33.35334863,25.09263106,43.84623169,32.79759093
311.compression,1024,46.8601127,36.49417714,60.71171609,49.15653565
311.compression,2048,75.61199192,63.67127302,97.34504802,83.23498247
501.graph-pagerank,128,2.71149729,0.01163952,2.70682141,0.01220269
501.graph-pagerank,256,2.55796479,0.01672542,2.59703986,0.02107738
501.graph-pagerank,512,2.41685895,0.02075317,2.42517818,0.02013871
501.graph-pagerank,1024,2.26322726,0.04068714,2.38558344,0.04881076
