Benchmark,Memory Size,ARM Cold Avg (USD),ARM Warm Avg (USD),x86 Cold Avg (USD),x86 Warm Avg (USD)
110.dynamic-html,128,1.92540167,0.2517677,2.36757766,0.26496012
110.dynamic-html,256,1.8121467,0.23777296,2.25758277,0.24243208
110.dynamic-html,512,1.69566786,0.23947964,2.11063848,0.2539521
110.dynamic-html,1024,1.62011161,0.26105201,2.01352895,0.27648014
120.uploader,128,10.68958842,1.38510243,12.77672914,1.48877057
120.uploader,256,10.33623839,1.59321441,12.05839171,1.71230168
120.uploader,512,10.35869824,2.04009024,12.42882445,2.21320935
120.uploader,1024,11.76131218,3.03187334,13.43900247,3.46180918
210.thumbnailer,128,13.13935001,2.31885857,16.12120517,2.75226109
210.thumbnailer,256,12.74271869,2.35992118,15.45987051,2.7726558
210.thumbnailer,512,12.34608737,2.55045439,15.04020034,3.03206965
210.thumbnailer,1024,12.67008259,3.31859477,15.41259575,4.0902051
220.video-processing,512,81.64065038,64.22887692,88.1041118,65.04017234
220.video-processing,1024,82.02089761,64.80341206,88.07782908,66.01980096
220.video-processing,2048,89.77602972,68.70664651,98.17517194,71.33061692
220.video-processing,4096,121.39785396,83.52222565,141.03648433,87.63409486
311.compression,256,32.77498952,23.28225725,41.18843397,29.87653934
311.compression,512,33.55814863,25.29743106,44.05103169,33.00239093
311.compression,1024,47.0649127,36.69897714,60.91651609,49.36133565
311.compression,2048,75.81679192,63.87607302,97.54984802,83.43978247
501.graph-pagerank,128,2.91629729,0.21643952,2.91162141,0.21700269
501.graph-pagerank,256,2.76276479,0.22152542,2.80183986,0.22587738
501.graph-pagerank,512,2.62165895,0.22555317,2.62997818,0.22493871
501.graph-pagerank,1024,2.46802726,0.24548714,2.59038344,0.25361076
