benchmark,memory,architecture,mean_client_time,median_client_time,std_client_time,advantage
110.dynamic-html,128,ARM,2348562.46,2357319.0,48662.427138696825,"x86, 2.20% faster"
110.dynamic-html,128,x86,2298089.38,2319402.0,147735.2162570797,"x86, 2.20% faster"
110.dynamic-html,256,ARM,1062751.08,1063085.0,45326.74196426993,"x86, 6.48% faster"
110.dynamic-html,256,x86,998029.06,994134.0,49806.05035388238,"x86, 6.48% faster"
110.dynamic-html,512,ARM,810234.2448979592,816373.0,66212.21331260448,"x86, 7.62% faster"
110.dynamic-html,512,x86,752895.98,760005.5,50374.42447516075,"x86, 7.62% faster"
110.dynamic-html,1024,ARM,690072.02,688453.0,55308.52828636533,"x86, 6.40% faster"
110.dynamic-html,1024,x86,648587.16,658879.0,52167.687369912215,"x86, 6.40% faster"
120.uploader,128,ARM,6708638.22,6710746.0,179000.48271914042,"x86, 3.75% faster"
120.uploader,128,x86,6466172.5,6467475.0,276674.6141846308,"x86, 3.75% faster"
120.uploader,256,ARM,4275252.28,4325336.0,221637.581446907,"x86, 10.03% faster"
120.uploader,256,x86,3885596.64,4314190.0,579368.7779832343,"x86, 10.03% faster"
120.uploader,512,ARM,2315189.62,2317068.5,40817.28184707141,"ARM, 1.37% faster"
120.uploader,512,x86,2346921.9,2338115.5,41376.524551109476,"ARM, 1.37% faster"
120.uploader,1024,ARM,2081342.84,2344081.0,456444.7397468234,"x86, 15.45% faster"
120.uploader,1024,x86,1802886.32,2233121.5,533071.6285010417,"x86, 15.45% faster"
210.thumbnailer,128,ARM,8373910.72,8398566.5,346865.44606524653,"x86, 0.61% faster"
210.thumbnailer,128,x86,8322819.02,8324285.0,193048.90496372545,"x86, 0.61% faster"
210.thumbnailer,256,ARM,4337741.68,4327207.5,66997.85787755658,"x86, 1.21% faster"
210.thumbnailer,256,x86,4286090.08,4274395.0,49158.195936675584,"x86, 1.21% faster"
210.thumbnailer,512,ARM,2401816.58,2401193.0,85523.39351051663,"x86, 1.85% faster"
210.thumbnailer,512,x86,2358199.34,2355663.0,68035.02119230315,"x86, 1.85% faster"
210.thumbnailer,1024,ARM,2288288.92,2309500.5,146731.41313017174,"ARM, 1.26% faster"
210.thumbnailer,1024,x86,2317055.44,2306929.0,43426.51792614974,"ARM, 1.26% faster"
220.video-processing,512,ARM,12760009.3,12776763.5,157921.1500278943,"x86, 11.23% faster"
220.video-processing,512,x86,11471227.2,11232480.5,849798.2301891748,"x86, 11.23% faster"
220.video-processing,1024,ARM,6837186.0,6806543.0,251920.75814802857,"x86, 8.79% faster"
220.video-processing,1024,x86,6285032.12,6308336.5,156243.9861414611,"x86, 8.79% faster"
220.video-processing,2048,ARM,4315829.94,4309327.5,55972.87451658523,"x86, 0.20% faster"
220.video-processing,2048,x86,4307220.4,4308211.5,49809.631853565734,"x86, 0.20% faster"
220.video-processing,4096,ARM,3011370.38,3010905.5,82445.3285021792,"x86, 3.16% faster"
220.video-processing,4096,x86,2919137.62,2858720.5,302754.1177699973,"x86, 3.16% faster"
311.compression,256,ARM,10526736.5,10362338.0,854047.8777065076,"x86, 1.86% faster"
311.compression,256,x86,10334848.5,10311545.5,317012.3715133211,"x86, 1.86% faster"
311.compression,512,ARM,6296918.68,6424195.5,345957.9251088341,"x86, 0.76% faster"
311.compression,512,x86,6249714.1,6253267.0,204575.61449959705,"x86, 0.76% faster"
311.compression,1024,ARM,4357341.1,4316480.0,283791.5313615626,"x86, 1.09% faster"
311.compression,1024,x86,4310546.4,4262938.0,151343.22333230605,"x86, 1.09% faster"
311.compression,2048,ARM,3716898.7,3347151.0,561499.9234232688,"ARM, 6.12% faster"
311.compression,2048,x86,3944530.72,4270315.5,542049.3241345251,"ARM, 6.12% faster"
501.graph-pagerank,128,ARM,2378533.92,2377075.0,34914.52304679676,"x86, 3.82% faster"
501.graph-pagerank,128,x86,2290989.32,2289378.0,46104.26652594662,"x86, 3.82% faster"
501.graph-pagerank,256,ARM,2043362.8,2364508.5,486628.78146488627,"x86, 77.11% faster"
501.graph-pagerank,256,x86,1153755.3,1154794.5,52079.45475366249,"x86, 77.11% faster"
501.graph-pagerank,512,ARM,964719.8585858586,957471.0,51108.086974410275,"x86, 15.56% faster"
501.graph-pagerank,512,x86,834815.78,848503.0,51084.99551679153,"x86, 15.56% faster"
501.graph-pagerank,1024,ARM,816683.9484536082,827535.0,69551.79919032933,"x86, 9.57% faster"
501.graph-pagerank,1024,x86,745380.72,750014.5,53477.329237052996,"x86, 9.57% faster"
