Benchmark,Architecture,Memory Size 1,Memory Size 2,Memory Size 3,Memory Size 4
110.dynamic-html,ARM,6.576213473024801,3.1571692043121766,2.2005254011646245,2.156631283478597
110.dynamic-html,x86,6.1777961330220785,3.257481250444709,2.272927695637507,2.036619431191014
120.uploader,ARM,6.299900191578379,5.50876048683694,3.7237373687984667,4.005340523720642
120.uploader,x86,7.207936486597687,5.8956970538908084,4.519560159562151,3.7903956880195384
210.thumbnailer,ARM,3.5941147567495735,4.920055988989125,3.6244224022224567,4.559539025044968
210.thumbnailer,x86,3.61868087426831,4.260853301546141,3.7192216500586492,4.0886732062932785
220.video-processing,ARM,1.2325239746457486,1.3625246555052661,1.5151426429602894,1.303800259680219
220.video-processing,x86,1.3844949428205138,1.4709502616380017,1.8042661644592883,1.242229482579087
311.compression,ARM,1.48089364167499,1.445878022455655,1.419980504415021,1.4285882136638313
311.compression,x86,1.3562436412106385,1.4247813920600525,1.3264524676652345,1.452362886726025
501.graph-pagerank,ARM,5.773957345228349,6.405802733422153,2.9111987638986996,2.240858925331336
501.graph-pagerank,x86,6.911106347490116,4.074724182613201,2.7098881325568596,2.0371706067651227
