benchmark,memory,architecture,mean_exec_time,median_exec_time,std_exec_time,advantage
110.dynamic-html,128,ARM,3307.04,1865.5,7348.431099970959,"ARM, 113.92% faster"
110.dynamic-html,128,x86,7074.56,1954.5,9328.324770661598,"ARM, 113.92% faster"
110.dynamic-html,256,ARM,2088.44,1873.5,1431.7231541761423,"ARM, 19.45% faster"
110.dynamic-html,256,x86,2494.64,1909.0,2186.954687809195,"ARM, 19.45% faster"
110.dynamic-html,512,ARM,1860.66,1846.0,71.90572342466557,"ARM, 19.36% faster"
110.dynamic-html,512,x86,2220.88,1870.0,1407.2485042283972,"ARM, 19.36% faster"
110.dynamic-html,1024,ARM,1842.04,1838.0,67.88584656071768,"ARM, 2.92% faster"
110.dynamic-html,1024,x86,1895.8,1877.0,97.76001436253611,"ARM, 2.92% faster"
120.uploader,128,ARM,682239.74,672595.5,62168.883676843485,"x86, 14.83% faster"
120.uploader,128,x86,594145.96,594488.0,61158.41550147803,"x86, 14.83% faster"
120.uploader,256,ARM,404177.16,400882.0,49811.96113481508,"x86, 15.25% faster"
120.uploader,256,x86,350709.56,337930.0,63037.34945711122,"x86, 15.25% faster"
120.uploader,512,ARM,266255.94,258067.5,55724.16926195581,"x86, 14.33% faster"
120.uploader,512,x86,232875.56,229693.5,44689.84285511299,"x86, 14.33% faster"
120.uploader,1024,ARM,204515.08,206100.5,51433.13755040795,"x86, 8.60% faster"
120.uploader,1024,x86,188315.6,184586.0,45633.03860858996,"x86, 8.60% faster"
210.thumbnailer,128,ARM,1225293.88,1219137.0,37117.14057404571,"x86, 3.58% faster"
210.thumbnailer,128,x86,1182991.72,1175291.0,44822.47262257661,"x86, 3.58% faster"
210.thumbnailer,256,ARM,627883.36,618896.0,38967.950890998436,"x86, 4.81% faster"
210.thumbnailer,256,x86,599079.8,595317.5,39914.53777402769,"x86, 4.81% faster"
210.thumbnailer,512,ARM,341117.44,328201.5,41242.16615738641,"x86, 3.80% faster"
210.thumbnailer,512,x86,328614.3,319451.0,28929.65816600743,"x86, 3.80% faster"
210.thumbnailer,1024,ARM,225477.38,213154.0,36036.3501684743,"x86, 0.12% faster"
210.thumbnailer,1024,x86,225216.76,210907.5,33925.799010674054,"x86, 0.12% faster"
220.video-processing,512,ARM,9375657.3,9383950.0,113946.01704714405,"x86, 23.44% faster"
220.video-processing,512,x86,7595331.86,7684691.5,462356.2573108869,"x86, 23.44% faster"
220.video-processing,1024,ARM,4728512.02,4739352.5,77012.64043516175,"x86, 22.70% faster"
220.video-processing,1024,x86,3853803.62,3876621.5,170029.66277404875,"x86, 22.70% faster"
220.video-processing,2048,ARM,2505852.22,2505606.5,46907.40314152153,"x86, 20.41% faster"
220.video-processing,2048,x86,2081138.68,2078525.5,71020.47186793739,"x86, 20.41% faster"
220.video-processing,4096,ARM,1522570.28,1517730.5,51200.54085653426,"x86, 19.15% faster"
220.video-processing,4096,x86,1277840.98,1250124.0,81451.92344968076,"x86, 19.15% faster"
311.compression,256,ARM,6758279.64,6679712.5,691001.0696291894,"ARM, 2.86% faster"
311.compression,256,x86,6951792.92,6949209.5,297639.4721292542,"ARM, 2.86% faster"
311.compression,512,ARM,3673224.34,3657595.0,105355.95413791572,"ARM, 4.57% faster"
311.compression,512,x86,3841010.12,3799817.5,276141.2815229337,"ARM, 4.57% faster"
311.compression,1024,ARM,2670273.64,2670471.5,149723.98387192347,"ARM, 7.77% faster"
311.compression,1024,x86,2877817.66,2767707.5,717080.6376107993,"ARM, 7.77% faster"
311.compression,2048,ARM,2329243.4,2268413.0,223528.86981555744,"ARM, 4.59% faster"
311.compression,2048,x86,2436089.26,2400928.0,244241.94551178135,"ARM, 4.59% faster"
501.graph-pagerank,128,ARM,327.74,326.0,10.607679159121334,"ARM, 0.35% faster"
501.graph-pagerank,128,x86,328.9,310.0,58.19925309851056,"ARM, 0.35% faster"
501.graph-pagerank,256,ARM,332.32,324.5,25.12372648818366,"x86, 4.40% faster"
501.graph-pagerank,256,x86,318.3,313.5,18.125694919823918,"x86, 4.40% faster"
501.graph-pagerank,512,ARM,330.76,324.5,18.888026657658234,"x86, 7.63% faster"
501.graph-pagerank,512,x86,307.3,304.0,15.490945347366704,"x86, 7.63% faster"
501.graph-pagerank,1024,ARM,333.34,323.5,24.57525717680532,"x86, 4.83% faster"
501.graph-pagerank,1024,x86,317.98,310.5,30.61511564770659,"x86, 4.83% faster"
