memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,1214803,0.278348,2309472,1235580,96.0
128,warm,False,1326409,0.232206,2264181,1347070,96.0
128,warm,False,1172463,0.19709,2274120,1193050,96.0
128,warm,False,1221908,0.25054,2320270,1242670,96.0
128,warm,False,1211600,0.279688,2415067,1232360,96.0
128,warm,False,1279762,0.32439,2360380,1284140,96.0
128,warm,False,1178854,0.298512,2330748,1180870,97.0
128,warm,False,1162045,0.280722,2330830,1182710,97.0
128,warm,False,1216505,0.343697,2459345,1237230,96.0
128,warm,False,1184455,0.321392,2354425,1205260,97.0
128,warm,False,1185232,0.226809,2258119,1187340,96.0
128,warm,False,1224847,0.283138,2313066,1245450,96.0
128,warm,False,1193458,0.283302,2356113,1214120,96.0
128,warm,False,1217469,0.258967,2287729,1219540,97.0
128,warm,False,1177264,0.298623,2329528,1192610,96.0
128,warm,False,1252658,0.313172,2344960,1273390,96.0
128,warm,False,1240797,0.19815,2272426,1261620,99.0
128,warm,False,1266854,0.332953,2364271,1268820,96.0
128,warm,False,1208160,0.35258,2407207,1228390,96.0
128,warm,False,1261823,0.314215,2343512,1282580,96.0
128,warm,False,1225950,0.219054,2246875,1229460,96.0
128,warm,False,1236455,0.224723,2253946,1257080,96.0
128,warm,False,1210144,0.27988,2364012,1212290,97.0
128,warm,False,1286752,0.223881,2253117,1300180,96.0
128,warm,False,1203629,0.292758,2358388,1205640,97.0
128,warm,False,1244639,0.230708,2311317,1247230,96.0
128,warm,False,1214582,0.316406,2348126,1235230,96.0
128,warm,False,1201341,0.346328,2460437,1203510,96.0
128,warm,False,1216368,0.25234,2281957,1218660,96.0
128,warm,False,1186525,0.208755,2310016,1206110,96.0
128,warm,False,1253938,0.251493,2304010,1261970,96.0
128,warm,False,1255273,0.262539,2314297,1275910,96.0
128,warm,False,1180151,0.279968,2317048,1182200,97.0
128,warm,False,1218906,0.319539,2353873,1221040,96.0
128,warm,False,1232884,0.276838,2311340,1253620,96.0
128,warm,False,1233447,0.207621,2239065,1254390,97.0
128,warm,False,1269546,0.278485,2364516,1290240,96.0
128,warm,False,1199150,0.248598,2279822,1219890,96.0
128,warm,False,1242210,0.26301,2292981,1247530,96.0
128,warm,False,1230459,0.340208,2372808,1251360,96.0
128,warm,False,1217517,0.274627,2318176,1238300,96.0
128,warm,False,1164816,0.309816,2341610,1185530,96.0
128,warm,False,1269766,0.342156,2393689,1271770,96.0
128,warm,False,1243957,0.280721,2310401,1246180,96.0
128,warm,False,1191718,0.348413,2412857,1195030,96.0
128,warm,False,1219368,0.194665,2306342,1221470,96.0
128,warm,False,1316964,0.257152,2288255,1322560,98.0
128,warm,False,1195089,0.284389,2339941,1209210,96.0
128,warm,False,1283003,0.298925,2330486,1285000,96.0
128,warm,False,1222781,0.305189,2419283,1243580,96.0
256,warm,False,619620,0.154676,837392,621700,96.0
256,warm,False,598823,0.267488,909064,600890,96.0
256,warm,False,617668,0.207618,875567,623800,96.0
256,warm,False,577502,0.17071,803149,598270,96.0
256,warm,False,620739,0.156287,824267,622610,96.0
256,warm,False,700936,0.212136,963778,702950,98.0
256,warm,False,602122,0.180704,829948,604230,96.0
256,warm,False,605064,0.182092,832790,607150,97.0
256,warm,False,617865,0.224875,907588,619980,97.0
256,warm,False,677516,0.170453,898449,679520,96.0
256,warm,False,634177,0.215355,915315,636100,96.0
256,warm,False,640274,0.193174,879993,642270,97.0
256,warm,False,604936,0.183329,838133,606910,96.0
256,warm,False,624503,0.142515,823852,626620,96.0
256,warm,False,679095,0.214775,949700,681100,96.0
256,warm,False,614113,0.245892,909718,616080,97.0
256,warm,False,618172,0.20592,870145,620170,96.0
256,warm,False,625617,0.209634,884570,627690,96.0
256,warm,False,602876,0.207057,858861,604900,96.0
256,warm,False,589083,0.205627,846863,591250,96.0
256,warm,False,588597,0.184731,826774,590660,96.0
256,warm,False,597060,0.245409,896616,599200,96.0
256,warm,False,661153,0.134202,844523,663150,98.0
256,warm,False,625182,0.295217,967263,627200,99.0
256,warm,False,661342,0.219135,929366,663410,97.0
256,warm,False,643073,0.234964,925657,645010,96.0
256,warm,False,643547,0.244994,940657,645860,99.0
256,warm,False,628674,0.237303,915134,630740,97.0
256,warm,False,594227,0.302696,947373,596230,96.0
256,warm,False,630021,0.202306,884352,631990,98.0
256,warm,False,612717,0.193034,864388,617570,96.0
256,warm,False,596705,0.149598,794814,601990,96.0
256,warm,False,617062,0.173697,836856,619030,96.0
256,warm,False,716301,0.195381,962853,718210,96.0
256,warm,False,648526,0.252127,950568,650580,96.0
256,warm,False,613678,0.190543,857496,615650,96.0
256,warm,False,611355,0.152013,810654,615510,97.0
256,warm,False,599759,0.139611,795942,601870,96.0
256,warm,False,654373,0.217261,921645,656420,97.0
256,warm,False,623761,0.214103,885501,625740,96.0
256,warm,False,674859,0.130333,855611,676960,96.0
256,warm,False,688629,0.175343,913584,690680,97.0
256,warm,False,579729,0.167255,797884,581600,96.0
256,warm,False,626465,0.245691,916049,628450,96.0
256,warm,False,605676,0.19667,852115,610040,96.0
256,warm,False,592662,0.202326,841491,595000,97.0
256,warm,False,567350,0.208193,828915,583200,96.0
256,warm,False,781955,0.203165,1041310,784080,97.0
256,warm,False,602796,0.209727,884405,604890,96.0
256,warm,False,636233,0.239251,933301,638310,96.0
512,cold,True,1702582,0.326796,2356525,1705720,96.0
512,cold,True,1856552,0.17942,2331880,1859940,100.0
512,cold,True,1840726,0.34406,2495158,1845000,96.0
512,cold,True,1778200,0.171612,2266606,1781590,98.0
512,cold,True,1825943,0.255646,2394043,1829440,96.0
512,cold,True,1807587,0.249054,2453307,1810950,98.0
512,cold,True,1776028,0.265318,2434814,1779380,100.0
512,cold,True,1870842,0.198549,2400294,1875340,96.0
512,cold,True,1791750,0.30542,2409587,1794300,96.0
512,cold,True,1640431,0.329435,2362640,1643050,96.0
512,cold,True,1737263,0.260631,2334528,1739840,96.0
512,cold,True,1769436,0.27874,2474134,1772760,98.0
512,cold,True,1826637,0.181068,2324298,1830070,100.0
512,cold,True,1750390,0.319446,2351465,1753960,96.0
512,cold,True,1785142,0.15415,2250965,1787720,96.0
512,cold,True,1770464,0.312908,2379707,1773040,96.0
512,cold,True,1746596,0.220498,2250534,1750050,98.0
512,cold,True,1729126,0.207389,2321857,1733230,98.0
512,cold,True,1766818,0.264973,2441603,1770270,98.0
512,cold,True,1791553,0.290134,2394160,1794780,96.0
512,cold,True,1754047,0.311541,2497669,1758670,98.0
512,cold,True,1818940,0.136432,2280660,1829970,96.0
512,cold,True,1784388,0.241371,2316540,1787220,96.0
512,cold,True,1783817,0.241841,2354933,1789150,96.0
512,cold,True,1735541,0.339181,2437144,1740350,96.0
512,cold,True,1719241,0.323932,2353744,1722550,96.0
512,cold,True,1807766,0.301979,2449312,1810260,96.0
512,cold,True,1750922,0.283596,2324855,1754320,98.0
512,cold,True,1740079,0.253968,2421641,1743340,98.0
512,cold,True,1791518,0.220632,2437428,1794620,98.0
512,cold,True,1792090,0.335354,2444214,1794610,98.0
512,cold,True,1741797,0.253037,2394842,1745270,98.0
512,cold,True,1762993,0.28479,2487908,1765750,98.0
512,cold,True,1817906,0.289094,2412717,1821260,98.0
512,cold,True,1872915,0.307065,2478908,1875670,100.0
512,cold,True,1751502,0.304866,2521540,1753990,96.0
512,cold,True,1736685,0.339423,2370804,1739700,98.0
512,cold,True,1749019,0.268057,2419746,1751720,96.0
512,cold,True,1776899,0.190024,2276124,1780050,98.0
512,cold,True,1767412,0.311133,2504156,1770500,98.0
512,cold,True,1790515,0.315508,2540763,1797540,96.0
512,cold,True,1634304,0.30571,2337566,1636840,98.0
512,cold,True,1756620,0.244995,2402092,1761230,96.0
512,cold,True,1817398,0.244431,2456409,1819940,96.0
512,cold,True,1790619,0.293228,2395496,1793310,98.0
512,cold,True,1825192,0.327167,2591779,1829810,96.0
512,cold,True,1645229,0.200395,2230255,1647540,100.0
512,cold,True,1769229,0.261312,2459331,1772400,98.0
512,cold,True,1883407,0.372143,2614033,1889380,96.0
512,cold,True,1776289,0.254911,2450115,1792090,96.0
512,warm,False,412303,0.321153,780359,414310,101.0
512,warm,False,340713,0.181966,571673,342750,99.0
512,warm,False,322836,0.263668,637321,324770,101.0
512,warm,False,339508,0.344797,731784,341560,99.0
512,warm,False,317867,0.180941,547383,319780,97.0
512,warm,False,291392,0.201859,542168,293170,99.0
512,warm,False,320037,0.195416,561341,322150,99.0
512,warm,False,303333,0.31543,669615,305230,99.0
512,warm,False,364077,0.264802,678221,366130,99.0
512,warm,False,324803,0.18687,559252,326790,99.0
512,warm,False,566205,0.181535,796382,568280,101.0
512,warm,False,327295,0.27692,653604,329340,100.0
512,warm,False,393869,0.335317,779036,395900,99.0
512,warm,False,342567,0.323923,716320,344620,101.0
512,warm,False,328621,0.2608,638631,330700,99.0
512,warm,False,322808,0.273643,642583,324720,99.0
512,warm,False,341355,0.281786,670991,343330,99.0
512,warm,False,326880,0.297705,672284,328890,101.0
512,warm,False,327782,0.295503,671150,329760,99.0
512,warm,False,307130,0.237046,590473,309190,101.0
512,warm,False,321159,0.277917,648391,323420,99.0
512,warm,False,331085,0.287785,670574,333520,99.0
512,warm,False,327710,0.321364,698976,329750,99.0
512,warm,False,310188,0.225003,583116,312060,97.0
512,warm,False,321694,0.314681,685335,323710,99.0
512,warm,False,363744,0.313687,725352,365780,101.0
512,warm,False,316540,0.325257,691100,318540,99.0
512,warm,False,331836,0.325442,706090,333810,101.0
512,warm,False,304368,0.299159,651292,306160,101.0
512,warm,False,313201,0.191223,552048,315190,97.0
512,warm,False,321166,0.24692,617540,323140,99.0
512,warm,False,363860,0.199239,618885,365970,99.0
512,warm,False,350494,0.302612,700469,352430,102.0
512,warm,False,343322,0.29639,693009,345360,99.0
512,warm,False,305148,0.291238,641833,307320,101.0
512,warm,False,386032,0.247661,679954,387870,99.0
512,warm,False,322986,0.329542,702148,324890,99.0
512,warm,False,349158,0.326794,730026,351190,99.0
512,warm,False,348609,0.260178,660771,350500,99.0
512,warm,False,322607,0.232394,612754,324620,101.0
512,warm,False,326886,0.290929,674711,328980,97.0
512,warm,False,340270,0.159174,547666,342130,99.0
512,warm,False,320586,0.177578,544103,322600,99.0
512,warm,False,354729,0.291469,694963,356680,99.0
512,warm,False,326203,0.322532,701043,328130,99.0
512,warm,False,396807,0.365456,835250,398890,99.0
512,warm,False,375768,0.287848,712005,377750,101.0
512,warm,False,334555,0.289553,677789,336680,101.0
512,warm,False,368152,0.274197,721496,370180,99.0
512,warm,False,335628,0.259686,644524,337610,99.0
256,cold,True,3711763,0.144855,4216007,3715110,95.0
256,cold,True,3613350,0.254868,4287189,3617140,95.0
256,cold,True,3706757,0.287966,4319101,3714970,95.0
256,cold,True,3718103,0.348038,4450595,3722070,95.0
256,cold,True,3736408,0.162244,4232030,3739150,95.0
256,cold,True,3732597,0.260605,4312475,3735440,95.0
256,cold,True,3517554,0.255769,4287639,3521160,95.0
256,cold,True,3668992,0.3137,4346688,3671790,95.0
256,cold,True,3600690,0.282261,4313854,3605790,95.0
256,cold,True,3735906,0.330903,4396455,3743050,95.0
256,cold,True,3777531,0.33451,4409011,3781020,95.0
256,cold,True,3652650,0.149717,4206452,3656620,95.0
256,cold,True,3597731,0.250075,4284255,3606740,95.0
256,cold,True,3853876,0.268177,4428768,3856760,95.0
256,cold,True,3744319,0.180782,4264185,3765370,95.0
256,cold,True,3734459,0.287897,4322185,3738180,95.0
256,cold,True,3688581,0.257717,4291252,3694680,95.0
256,cold,True,3480496,0.315068,4348135,3483970,95.0
256,cold,True,3685683,0.318048,4348163,3705610,95.0
256,cold,True,3654450,0.251034,4283464,3658050,95.0
256,cold,True,3765093,0.330425,4405278,3768470,95.0
256,cold,True,3559989,0.30634,4403999,3563830,95.0
256,cold,True,3733192,0.350372,4384692,3736720,95.0
256,cold,True,3644531,0.242493,4275069,3647220,95.0
256,cold,True,3688133,0.237503,4270564,3699760,95.0
256,cold,True,3455876,0.297591,4331330,3458760,95.0
256,cold,True,3707181,0.267941,4301210,3710360,95.0
256,cold,True,3768696,0.324688,4395795,3771220,95.0
256,cold,True,3431784,0.276675,4309558,3434280,95.0
256,cold,True,3443112,0.231261,4264386,3446300,95.0
256,cold,True,3637918,0.313168,4346837,3644260,95.0
256,cold,True,3655634,0.29052,4323085,3681760,95.0
256,cold,True,3713141,0.342294,4436591,3716160,95.0
256,cold,True,3574753,0.294571,4399232,3578150,95.0
256,cold,True,3673773,0.155526,4269898,3677080,95.0
256,cold,True,3682831,0.315861,4350501,3702800,95.0
256,cold,True,3449996,0.286144,4318465,3453320,95.0
256,cold,True,3660677,0.266929,4299952,3675960,95.0
256,cold,True,3852607,0.331006,4493950,3873280,95.0
256,cold,True,3648401,0.324322,4355135,3651440,95.0
256,cold,True,3719777,0.345616,4382433,3723680,95.0
256,cold,True,3683882,0.332328,4436799,3703980,95.0
256,cold,True,3680922,0.133682,4212384,3683780,95.0
256,cold,True,3767891,0.267148,4362864,3771540,95.0
256,cold,True,3338980,0.271283,4304813,3341720,95.0
256,cold,True,3687486,0.338288,4369864,3707130,95.0
256,cold,True,3743563,0.268087,4297736,3746240,95.0
256,cold,True,3747219,0.314135,4378538,3768620,95.0
256,cold,True,3729207,0.351488,4448585,3732700,95.0
256,cold,True,3827063,0.262115,4409638,3830530,95.0
128,cold,True,7701567,0.357375,8410427,7719850,95.0
128,cold,True,7137309,0.370979,8408797,7178060,95.0
128,cold,True,7567098,0.362839,8401167,7588220,95.0
128,cold,True,7714730,0.129345,8258723,7718670,95.0
128,cold,True,7696246,0.355269,8391103,7717420,95.0
128,cold,True,7604023,0.316806,8393481,7625070,95.0
128,cold,True,7655768,0.316656,8365307,7676980,95.0
128,cold,True,7768447,0.364349,8493030,7789680,95.0
128,cold,True,7423252,0.349783,8388686,7426800,95.0
128,cold,True,8091914,0.408313,8880277,8113800,95.0
128,cold,True,7612971,0.350044,8386797,7616470,95.0
128,cold,True,6420087,0.366224,7059625,6422670,95.0
128,cold,True,7530606,0.33313,8370766,7533590,95.0
128,cold,True,7722209,0.417833,8493011,7743380,95.0
128,cold,True,7795924,0.34874,8524825,7818500,95.0
128,cold,True,7770221,0.422019,8544353,7774020,95.0
128,cold,True,6513071,0.380975,7198280,6516080,95.0
128,cold,True,7786304,0.302179,8410312,7807370,95.0
128,cold,True,7483306,0.124381,8287020,7486260,95.0
128,cold,True,7464484,0.352341,8388984,7485660,95.0
128,cold,True,7650900,0.359887,8395966,7671880,95.0
128,cold,True,7619673,0.301688,8338474,7660850,95.0
128,cold,True,7852015,0.395447,8555031,7854900,94.0
128,cold,True,7552880,0.351782,8386495,7575980,95.0
128,cold,True,7565150,0.369829,8408205,7587720,95.0
128,cold,True,7474743,0.301416,8338990,7478160,95.0
128,cold,True,7629606,0.389488,8425362,7642840,95.0
128,cold,True,7762062,0.336356,8465756,7765520,95.0
128,cold,True,7416499,0.412224,8449030,7438480,95.0
128,cold,True,7542088,0.354615,8391473,7563350,95.0
128,cold,True,7539882,0.358452,8395253,7561760,95.0
128,cold,True,7621701,0.365193,8467652,7643970,95.0
128,cold,True,6663379,0.335144,7277043,6665760,95.0
128,cold,True,7568949,0.397011,8433412,7591810,95.0
128,cold,True,7715414,0.365287,8444092,7737810,95.0
128,cold,True,7717401,0.326746,8364030,7738770,95.0
128,cold,True,7629210,0.343879,8379994,7631930,95.0
128,cold,True,7572319,0.352513,8390446,7575170,95.0
128,cold,True,7630795,0.363662,8466887,7633660,95.0
128,cold,True,7515399,0.325707,8364482,7518230,95.0
128,cold,True,7511621,0.329173,8365222,7515260,95.0
128,cold,True,7486861,0.290278,9150268,7508010,95.0
128,cold,True,7554084,0.343808,8379678,7571230,95.0
128,cold,True,7589467,0.374349,8412118,7612410,95.0
128,cold,True,8393517,0.344379,9095862,8415890,95.0
128,cold,True,7730920,0.357309,8432414,7752040,95.0
128,cold,True,7642630,0.37257,8409256,7664690,95.0
128,cold,True,7416581,0.406645,8444011,7437670,95.0
128,cold,True,7651341,0.347151,8382093,7674050,95.0
128,cold,True,7446837,0.396556,8431570,7468010,95.0
1024,cold,True,854041,0.246751,2322785,857390,98.0
1024,cold,True,939143,0.322662,2390855,944380,96.0
1024,cold,True,886972,0.241017,2320023,889260,96.0
1024,cold,True,916504,0.216739,2248634,919590,98.0
1024,cold,True,912901,0.233201,2268281,916330,98.0
1024,cold,True,912841,0.219173,2250755,916100,98.0
1024,cold,True,917119,0.228103,2259516,920670,98.0
1024,cold,True,926437,0.236735,2325012,929400,98.0
1024,cold,True,1002764,0.216129,2298207,1005600,96.0
1024,cold,True,932161,0.286607,2317303,934800,96.0
1024,cold,True,917655,0.226115,2269320,921070,100.0
1024,cold,True,866106,0.316774,2407603,871180,96.0
1024,cold,True,971234,0.269755,2271960,974510,98.0
1024,cold,True,926728,0.22621,2309472,930420,100.0
1024,cold,True,883161,0.328492,2358665,886730,96.0
1024,cold,True,937635,0.310142,2392274,940740,98.0
1024,cold,True,897418,0.234095,2312337,900280,98.0
1024,cold,True,906958,0.299998,2330684,910020,98.0
1024,cold,True,887187,0.319217,2397682,890560,98.0
1024,cold,True,888878,0.230379,2310432,891520,96.0
1024,cold,True,888860,0.186613,2215267,891750,98.0
1024,cold,True,918649,0.262194,2341599,921910,100.0
1024,cold,True,904721,0.214601,2264349,907390,96.0
1024,cold,True,938312,0.229265,2320019,941090,96.0
