memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
4096,cold,True,2221309,0.308859,3054180,2223950,329.0
4096,cold,True,2290717,0.329699,3161059,2293500,326.0
4096,cold,True,2184243,0.293805,2992124,2187070,325.0
4096,cold,True,2137231,0.288905,2951316,2140040,327.0
4096,cold,True,2270593,0.221862,3007817,2273250,321.0
4096,cold,True,2194896,0.278189,3032780,2198350,341.0
4096,cold,True,2213398,0.253084,2974138,2215930,328.0
4096,cold,True,2254356,0.254447,3067202,2257840,330.0
4096,cold,True,2257003,0.185396,2979246,2259670,321.0
4096,cold,True,2268605,0.223151,3014036,2271120,322.0
4096,cold,True,2182325,0.223482,2949000,2184940,322.0
4096,cold,True,2465920,0.13741,3135331,2468780,327.0
4096,cold,True,2348032,0.295531,3193696,2351370,325.0
4096,cold,True,2168989,0.29867,2965975,2172220,325.0
4096,cold,True,2191358,0.264776,2986007,2194390,325.0
4096,cold,True,2182556,0.131785,2829332,2185220,328.0
4096,cold,True,2199517,0.301426,3026802,2202270,329.0
4096,cold,True,2213308,0.278173,3044575,2215880,326.0
4096,cold,True,2169543,0.308467,3013994,2172010,328.0
4096,cold,True,2283537,0.331803,3151774,2286550,327.0
4096,cold,True,2197221,0.318672,3046837,2199790,325.0
4096,cold,True,2227723,0.313852,3055223,2231030,329.0
4096,cold,True,2143309,0.202111,2879741,2146070,327.0
4096,cold,True,2279151,0.206436,3022386,2281860,326.0
4096,cold,True,2266249,0.284751,3081853,2273680,327.0
4096,cold,True,2286417,0.2734,3093486,2289160,326.0
4096,cold,True,2258083,0.300274,3088388,2260660,328.0
4096,cold,True,2233437,0.305284,3069111,2236280,323.0
4096,cold,True,2193646,0.298452,3003206,2196260,328.0
4096,cold,True,2059996,0.279332,2856124,2062440,326.0
4096,cold,True,2272662,0.267468,3071165,2275150,327.0
4096,cold,True,2272472,0.172123,2972652,2275220,325.0
4096,cold,True,2216982,0.196047,2935586,2219600,327.0
4096,cold,True,2317601,0.302958,3141498,2321300,328.0
4096,cold,True,2255568,0.301827,3096185,2258290,327.0
4096,cold,True,2144962,0.281141,2966797,2147730,324.0
4096,cold,True,2193567,0.327042,3027190,2196220,326.0
4096,cold,True,2188476,0.265052,2985743,2190890,329.0
4096,cold,True,2077047,0.305402,2905312,2079469,330.0
4096,cold,True,2148359,0.3218,3006258,2151090,321.0
4096,cold,True,2140683,0.213033,2880769,2143990,329.0
4096,cold,True,2214113,0.30699,3072625,2218740,321.0
4096,cold,True,2113525,0.27468,2923711,2116190,327.0
4096,cold,True,2187094,0.276185,2988152,2190890,325.0
4096,cold,True,2131497,0.283056,2928019,2134070,324.0
4096,cold,True,2143396,0.277944,2947329,2146630,326.0
4096,cold,True,2292271,0.293144,3112583,2295060,327.0
4096,cold,True,2307550,0.211395,3042164,2310050,332.0
4096,cold,True,2145949,0.142503,2863267,2148500,333.0
4096,cold,True,2174112,0.28396,2974775,2176850,327.0
512,cold,True,11998919,0.278904,12849241,12001820,330.0
512,cold,True,11944830,0.329432,12842521,11948220,323.0
512,cold,True,11881610,0.296215,12750387,11884910,318.0
512,cold,True,11804295,0.29549,12668956,11806920,314.0
512,cold,True,11884068,0.320658,12757551,11886780,326.0
512,cold,True,11963966,0.312601,12838345,11966620,319.0
512,cold,True,11875932,0.334849,12766639,11878440,320.0
512,cold,True,12024034,0.327452,12920568,12026820,323.0
512,cold,True,11915483,0.249694,12703433,11920190,325.0
512,cold,True,12114472,0.13846,12832677,12117590,323.0
512,cold,True,11851752,0.241653,12656956,11854530,321.0
512,cold,True,11839163,0.23084,12622554,11841520,321.0
512,cold,True,12072060,0.300536,12926386,12075220,324.0
512,cold,True,11786780,0.328279,12672937,11789500,319.0
512,cold,True,11791651,0.321009,12675040,11795010,317.0
512,cold,True,12130180,0.335998,13022305,12133150,322.0
512,cold,True,12050099,0.265208,12875949,12054620,322.0
512,cold,True,11912017,0.343389,12816295,11915420,328.0
512,cold,True,11952528,0.316747,12826627,11955980,321.0
512,cold,True,11838362,0.183031,12599639,11841530,318.0
512,cold,True,11843950,0.20349,12603480,11846900,316.0
512,cold,True,11842318,0.178661,12575152,11845660,321.0
512,cold,True,11440233,0.306997,12371286,11443340,321.0
512,cold,True,11891014,0.290175,12774058,11893840,311.0
512,cold,True,11963906,0.289457,12809208,11967560,321.0
512,cold,True,11954009,0.310829,12828742,11956600,323.0
512,cold,True,11545088,0.315978,12398053,11547680,315.0
512,cold,True,12006154,0.295018,12872116,12009590,322.0
512,cold,True,11902072,0.285794,12744257,11905410,326.0
512,cold,True,11931923,0.29842,12794096,11934590,336.0
512,cold,True,12160834,0.261585,12975493,12164110,320.0
512,cold,True,11895462,0.208802,12658107,11898170,314.0
512,cold,True,12172523,0.296315,13026349,12176260,328.0
512,cold,True,11938347,0.261853,12727409,11942050,316.0
512,cold,True,11877300,0.192189,12638732,11879980,322.0
512,cold,True,11971158,0.277832,12837441,11973780,321.0
512,cold,True,12181971,0.273236,12986008,12184430,322.0
512,cold,True,11770869,0.179499,12498248,11774210,321.0
512,cold,True,11842325,0.183135,12579925,11844900,310.0
512,cold,True,11825445,0.307029,12645457,11828400,315.0
512,cold,True,11948260,0.273469,12781458,11950980,317.0
512,cold,True,11767456,0.313369,12647076,11769990,320.0
512,cold,True,12110801,0.286606,12886532,12114530,315.0
512,cold,True,12124887,0.347085,13043474,12128140,326.0
512,cold,True,12064550,0.201083,12828872,12067720,325.0
512,cold,True,11653525,0.243249,12464184,11656540,312.0
512,cold,True,12159046,0.307483,13032209,12162570,326.0
512,cold,True,12027563,0.283656,12875372,12031220,320.0
512,cold,True,11923470,0.223374,12693196,11927000,326.0
512,cold,True,11903854,0.304352,12779469,11906620,323.0
512,warm,False,9517331,0.205835,10246593,9519680,322.0
512,warm,False,9430232,0.284933,10368066,9432490,328.0
512,warm,False,9383038,0.35235,10391912,9385360,323.0
512,warm,False,9473196,0.354876,10396910,9475410,330.0
512,warm,False,9192380,0.331189,10371966,9194620,329.0
512,warm,False,9301776,0.346347,10383538,9304370,328.0
512,warm,False,9411770,0.299273,10375938,9413900,324.0
512,warm,False,9354907,0.148264,10232562,9357180,327.0
512,warm,False,9453019,0.311723,10359359,9455320,332.0
512,warm,False,9353325,0.356945,10400218,9355590,324.0
512,warm,False,9453459,0.356095,10394940,9455970,322.0
512,warm,False,9202262,0.132889,10218941,9204470,326.0
512,warm,False,9496379,0.315834,10355162,9498730,320.0
512,warm,False,9408906,0.187177,10234957,9411260,319.0
512,warm,False,9551330,0.353947,10392291,9553660,331.0
512,warm,False,9415794,0.35051,10394470,9418180,326.0
512,warm,False,9467882,0.170794,10219746,9469880,326.0
512,warm,False,9384862,0.353808,10393203,9387100,321.0
512,warm,False,9458183,0.381922,10444045,9460460,323.0
512,warm,False,9494182,0.266668,10361040,9496430,328.0
512,warm,False,9430558,0.252356,10315715,9432850,321.0
512,warm,False,9296644,0.252183,10320955,9299360,322.0
512,warm,False,9458365,0.130167,10225364,9460480,336.0
512,warm,False,9187133,0.476505,10515333,9189160,321.0
512,warm,False,9476230,0.146616,10229037,9478390,326.0
512,warm,False,9373411,0.180044,10242569,9375730,327.0
512,warm,False,9339058,0.277197,10368341,9341320,322.0
512,warm,False,9345737,0.412952,10488039,9347830,330.0
512,warm,False,9160581,0.240837,10321345,9162550,329.0
512,warm,False,9497914,0.467042,10507138,9500060,330.0
512,warm,False,9448912,0.209551,10342626,9451230,323.0
512,warm,False,9377231,0.366134,10408163,9379560,323.0
512,warm,False,9320281,0.354222,10408467,9322320,320.0
512,warm,False,9231581,0.269287,10309757,9233700,322.0
512,warm,False,9415342,0.219915,10340888,9417590,325.0
512,warm,False,9231583,0.267472,10309996,9234000,335.0
512,warm,False,9466925,0.294333,10335246,9469370,323.0
512,warm,False,9301504,0.285847,10365011,9303650,321.0
512,warm,False,9365181,0.339749,10375026,9367380,327.0
512,warm,False,9536492,0.138955,10223102,9538810,328.0
512,warm,False,9472074,0.164363,10245397,9474310,319.0
512,warm,False,9211060,0.137059,10223437,9213110,323.0
512,warm,False,9538850,0.384937,10422235,9541550,330.0
512,warm,False,9219219,0.348804,10386907,9221320,321.0
512,warm,False,9355769,0.35251,10393342,9358020,320.0
512,warm,False,9320322,0.400782,10472507,9322510,317.0
512,warm,False,9305700,0.317288,10354598,9308060,336.0
512,warm,False,9367899,0.404837,10499873,9370200,319.0
512,warm,False,9492704,0.295909,10375402,9495140,326.0
512,warm,False,9034392,0.337664,10375694,9036380,328.0
2048,warm,False,2487668,0.298986,2835157,2489870,318.0
2048,warm,False,2422424,0.306296,2775349,2424570,317.0
2048,warm,False,2420629,0.225019,2697506,2423460,320.0
2048,warm,False,2525684,0.260846,2840259,2528220,322.0
2048,warm,False,2617657,0.288564,2958326,2619880,321.0
2048,warm,False,2516580,0.284134,2851516,2518940,321.0
2048,warm,False,2491045,0.28538,2827639,2493260,318.0
2048,warm,False,2461619,0.25412,2763679,2463820,321.0
2048,warm,False,2504273,0.288938,2842129,2506690,327.0
2048,warm,False,2445028,0.288033,2781921,2447450,324.0
2048,warm,False,2517124,0.245302,2816575,2519550,320.0
2048,warm,False,2540780,0.203675,2803272,2543050,325.0
2048,warm,False,2521302,0.273287,2851379,2523510,321.0
2048,warm,False,2515659,0.292268,2860167,2518330,316.0
2048,warm,False,2463053,0.333754,2851326,2465220,316.0
2048,warm,False,2481482,0.274697,2806931,2483680,323.0
2048,warm,False,2479025,0.318842,2849068,2481220,324.0
2048,warm,False,2504190,0.365705,2921552,2506560,318.0
2048,warm,False,2480644,0.285373,2815229,2482740,321.0
2048,warm,False,2525130,0.361751,2933066,2527500,317.0
