memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,warm,False,6689462,0.257774,7003365,6691520,149.0
256,warm,False,6171278,0.288048,6512301,6173280,149.0
256,warm,False,6674083,0.326707,7049499,6676240,150.0
256,warm,False,6760288,0.305363,7118116,6762290,151.0
256,warm,False,6544894,0.318349,6913593,6546970,149.0
256,warm,False,6563632,0.3217,6939885,6565680,147.0
256,warm,False,6631147,0.24871,6932177,6633220,150.0
256,warm,False,6854358,0.194291,7099228,6856320,150.0
256,warm,False,6750059,0.250701,7058546,6752420,151.0
256,warm,False,6580013,0.325525,6952981,6582220,149.0
256,warm,False,6716789,0.322302,7086452,6719060,150.0
256,warm,False,6684607,0.18813,6930138,6686650,149.0
256,warm,False,6691768,0.360503,7104030,6693790,150.0
256,warm,False,6647029,0.300586,7001789,6649150,150.0
256,warm,False,6732647,0.341408,7118296,6734720,151.0
256,warm,False,6507694,0.358631,6925573,6509720,150.0
256,warm,False,6624682,0.321945,6995899,6626840,149.0
256,warm,False,6597414,0.352204,7001824,6599530,148.0
256,warm,False,6963067,0.200665,7211139,6965270,148.0
256,warm,False,6823051,0.284828,7160155,6825110,147.0
256,warm,False,6777941,0.291871,7116291,6780120,149.0
256,warm,False,6571599,0.311161,6934933,6573700,150.0
256,warm,False,6614637,0.268079,6940850,6616780,149.0
256,warm,False,6573354,0.336268,6960301,6575430,150.0
256,warm,False,6722283,0.279963,7053379,6724420,148.0
256,warm,False,6782948,0.22575,7064634,6785020,150.0
256,warm,False,6643907,0.253746,6947777,6645910,150.0
256,warm,False,6797597,0.184005,7034918,6799690,151.0
256,warm,False,11453123,0.315078,12357074,11455270,148.0
256,warm,False,6821162,0.289797,7162540,6823280,150.0
256,warm,False,6697728,0.199217,6945384,6700090,150.0
256,warm,False,6674818,0.316106,7036661,6676960,150.0
256,warm,False,6691335,0.33085,7073887,6693510,150.0
256,warm,False,6688299,0.31711,7058093,6690400,150.0
256,warm,False,6421615,0.294679,6774194,6423840,150.0
256,warm,False,6500643,0.297223,6848252,6502890,150.0
256,warm,False,6613875,0.28687,6953478,6616010,149.0
256,warm,False,6575295,0.347314,6967288,6577470,149.0
256,warm,False,6885193,0.251403,7190621,6887340,150.0
256,warm,False,6882703,0.341137,7273966,6884710,150.0
256,warm,False,6556356,0.265705,6878707,6558350,149.0
256,warm,False,6493694,0.242819,6791129,6496490,151.0
256,warm,False,6476379,0.29388,6817789,6478410,149.0
256,warm,False,6612587,0.27043,6939116,6614670,148.0
256,warm,False,6600331,0.303103,6949493,6602560,150.0
256,warm,False,6742003,0.31038,7111896,6744140,150.0
256,warm,False,6551761,0.302167,6916890,6553930,148.0
256,warm,False,6819397,0.229098,7097240,6821450,150.0
256,warm,False,6725472,0.251006,7029738,6727550,150.0
256,warm,False,6737985,0.288142,7076879,6740010,150.0
512,cold,True,4789933,0.320647,6355998,4792250,108.0
512,cold,True,4811498,0.38473,6419566,4814040,111.0
512,cold,True,4965601,0.424674,6458431,4968480,106.0
512,cold,True,4775771,0.473296,6508378,4779760,110.0
512,cold,True,4936793,0.319736,6428430,4939160,107.0
512,cold,True,4868220,0.361893,6400546,4872430,108.0
512,cold,True,4871714,0.352757,6387508,4874230,107.0
512,cold,True,4918426,0.347243,6432501,4922620,110.0
512,cold,True,4637142,0.42332,5318084,4641030,110.0
512,cold,True,4825287,0.46452,6495965,4827970,110.0
512,cold,True,5156172,0.466754,6502447,5160320,108.0
512,cold,True,5213143,0.442647,6475167,5215440,106.0
512,cold,True,4914177,0.31861,6356584,4916950,109.0
512,cold,True,5031966,0.364975,6401369,5037150,109.0
512,cold,True,4911020,0.400941,6435295,4913340,108.0
512,cold,True,4850462,0.40447,6439330,4853720,109.0
512,cold,True,5113505,0.299936,6332697,5116100,108.0
512,cold,True,4812011,0.331861,6367082,4814370,108.0
512,cold,True,4721759,0.390958,6426573,4726830,108.0
512,cold,True,5274463,0.432693,6467776,5278120,108.0
512,cold,True,4683069,0.385635,5319204,4686270,108.0
512,cold,True,4939495,0.43582,6453579,4942360,109.0
512,cold,True,4852090,0.33263,6368298,4854750,108.0
512,cold,True,4923904,0.297992,6336711,4928830,111.0
512,cold,True,4769138,0.429015,6463757,4771690,108.0
512,cold,True,4750826,0.323622,5332785,4753600,108.0
512,cold,True,4870372,0.380892,6412665,4874610,111.0
512,cold,True,4985549,0.405562,6437444,4988220,108.0
512,cold,True,4867558,0.437346,6472259,4870790,111.0
512,cold,True,4822812,0.330282,6365689,4825020,107.0
512,cold,True,4969842,0.41847,6451064,4973590,108.0
512,cold,True,4840998,0.390488,6425744,4843230,107.0
512,cold,True,4871260,0.300179,6334831,4873570,108.0
512,cold,True,5033736,0.410068,6444258,5036520,109.0
512,cold,True,4714387,0.339843,5316226,4718180,109.0
512,cold,True,4726822,0.472399,5502198,4729480,110.0
512,cold,True,4736065,0.466972,5490693,4739330,111.0
512,cold,True,5113907,0.356866,6392460,5119040,108.0
512,cold,True,4843226,0.43257,6469124,4846710,109.0
512,cold,True,4827080,0.337838,6370928,4829420,108.0
512,cold,True,4895965,0.428839,6461701,4899490,109.0
512,cold,True,4847302,0.340111,6372383,4851420,109.0
512,cold,True,4984613,0.402052,6434484,4988210,111.0
512,cold,True,4918034,0.388632,6424522,4921430,110.0
512,cold,True,4792430,0.390606,6425468,4795910,110.0
512,cold,True,4746022,0.412685,6446502,4749170,109.0
512,cold,True,4785811,0.384088,6416808,4788300,109.0
512,cold,True,4876563,0.364494,6397470,4880270,111.0
512,cold,True,4830372,0.39286,6423869,4833120,110.0
512,cold,True,4877993,0.434832,6473083,4880270,107.0
512,warm,False,4090282,0.334104,4474733,4092270,154.0
512,warm,False,3627676,0.335738,4378902,3629580,153.0
512,warm,False,3628822,0.304775,4337435,3630820,152.0
512,warm,False,3884972,0.379265,4415956,3886860,152.0
512,warm,False,3720993,0.336325,4377539,3723010,151.0
512,warm,False,3512484,0.312873,4345081,3514240,151.0
512,warm,False,3556524,0.284871,4320051,3558430,152.0
512,warm,False,3666718,0.307345,4339792,3668790,153.0
512,warm,False,3681122,0.329691,4361671,3683220,153.0
512,warm,False,3541677,0.313715,4342486,3543600,151.0
512,warm,False,3648188,0.332739,4370972,3650180,150.0
512,warm,False,3561734,0.350984,4383202,3563730,153.0
512,warm,False,3610844,0.360396,4471478,3612910,152.0
512,warm,False,3719143,0.37074,4414327,3720990,151.0
512,warm,False,3721573,0.276981,4312377,3723520,155.0
512,warm,False,3633962,0.338707,4378374,3635990,154.0
512,warm,False,3702568,0.284409,4316802,3704550,151.0
512,warm,False,3655785,0.344206,4374331,3657820,155.0
512,warm,False,3925693,0.331014,4365873,3927740,153.0
512,warm,False,3598206,0.384285,4415208,3600100,153.0
512,warm,False,3797486,0.23368,4269216,3799580,154.0
512,warm,False,3719925,0.221148,4254417,3722010,153.0
512,warm,False,3678988,0.208312,4244633,3680890,151.0
512,warm,False,3645950,0.391532,4432359,3647830,154.0
512,warm,False,3651855,0.292793,4325542,3653930,150.0
512,warm,False,3774177,0.182985,4258029,3776170,155.0
512,warm,False,3716961,0.348398,4385324,3719200,154.0
512,warm,False,3599785,0.338344,4371149,3601650,153.0
512,warm,False,3677459,0.340404,4384981,3679410,152.0
512,warm,False,3598998,0.305109,4337469,3601070,151.0
512,warm,False,3671657,0.290786,4322797,3673770,153.0
512,warm,False,3659405,0.35623,4388946,3661350,152.0
512,warm,False,3691873,0.287591,4325039,3693940,154.0
512,warm,False,3724615,0.279169,4310343,3726810,154.0
512,warm,False,3648439,0.337229,4371678,3650340,156.0
512,warm,False,3528645,0.322077,4362110,3530460,153.0
512,warm,False,3701697,0.321373,4363814,3703930,153.0
512,warm,False,3711566,0.327053,4358228,3713550,155.0
512,warm,False,3627390,0.316231,4349869,3629340,150.0
512,warm,False,3461873,0.359754,4397760,3463770,152.0
512,warm,False,3636927,0.33274,4367001,3638870,153.0
512,warm,False,3620065,0.282913,4313742,3622050,157.0
512,warm,False,3679279,0.298202,4331491,3681420,153.0
512,warm,False,3604306,0.307929,4340866,3606250,155.0
512,warm,False,3630815,0.290536,4323143,3632780,154.0
512,warm,False,3670196,0.363254,4394415,3672130,153.0
512,warm,False,3649488,0.265393,4300999,3651600,153.0
512,warm,False,3866064,0.311839,4348500,3867920,152.0
512,warm,False,3708656,0.287153,4319539,3710720,153.0
512,warm,False,3617711,0.367398,4404157,3619680,155.0
256,cold,True,9107212,0.342372,10458143,9109800,105.0
256,cold,True,9505292,0.335523,10378431,9507790,106.0
256,cold,True,9465903,0.274974,10316099,9469600,105.0
256,cold,True,14052884,0.294467,14659179,14055300,106.0
256,cold,True,9621561,0.341241,10379944,9624510,105.0
256,cold,True,9409486,0.287408,10325756,9413240,106.0
256,cold,True,9239950,0.298362,10338276,9242490,106.0
256,cold,True,9237882,0.269447,10307773,9240490,106.0
256,cold,True,8986618,0.381233,10421503,8989020,106.0
256,cold,True,9639103,0.31271,10352723,9641680,106.0
256,cold,True,9310631,0.284739,10343353,9314260,106.0
256,cold,True,9424785,0.293953,10348365,9428360,106.0
256,cold,True,10393372,0.361637,11059736,10396340,106.0
256,cold,True,9466846,0.318603,10358221,9470610,106.0
256,cold,True,9326058,0.32395,10363887,9328640,105.0
256,cold,True,9345610,0.292914,10331776,9348400,106.0
256,cold,True,9242094,0.348525,10387672,9244760,106.0
256,cold,True,9588988,0.355587,10475400,9592430,106.0
256,cold,True,9070302,0.344172,10384183,9078620,105.0
256,cold,True,9232024,0.310099,10349888,9235690,106.0
256,cold,True,9267531,0.283315,10321937,9270940,105.0
256,cold,True,9554304,0.315157,10355449,9558240,106.0
256,cold,True,9267040,0.360416,10397736,9269820,106.0
256,cold,True,9497994,0.325731,10361536,9500760,105.0
256,cold,True,9344451,0.335054,10378109,9347430,106.0
256,cold,True,9435131,0.329423,10443002,9438150,105.0
256,cold,True,9543943,0.268805,10319926,9546440,105.0
256,cold,True,9194121,0.358293,10403516,9196820,105.0
256,cold,True,9452344,0.307006,10344693,9456200,106.0
256,cold,True,9335614,0.310393,10348861,9338510,106.0
256,cold,True,9304146,0.384634,10422551,9308000,105.0
256,cold,True,9528484,0.281684,10345242,9531400,106.0
256,cold,True,9275333,0.355523,10475374,9278330,106.0
256,cold,True,9467624,0.346809,10381558,9476290,106.0
256,cold,True,8582298,0.340865,9204993,8585710,106.0
256,cold,True,9424300,0.296577,10335101,9427130,106.0
256,cold,True,9281903,0.301479,10341550,9284930,106.0
256,cold,True,9676653,0.336839,10377437,9679210,106.0
256,cold,True,9328493,0.323463,10362681,9387250,106.0
256,cold,True,9082331,0.323201,10361995,9085860,105.0
256,cold,True,9129240,0.31746,10357557,9133140,105.0
256,cold,True,9405088,0.271765,10310223,9407790,105.0
256,cold,True,9489596,0.316057,10368825,9493600,106.0
256,cold,True,9530703,0.360086,10399891,9533320,105.0
256,cold,True,12955485,0.332114,14452434,12958320,106.0
256,cold,True,9551011,0.292873,10333851,9553650,106.0
256,cold,True,9179739,0.314856,10351713,9183550,106.0
256,cold,True,9512297,0.334726,10377799,9515950,106.0
256,cold,True,9545547,0.317392,10370496,9549530,106.0
256,cold,True,9045283,0.350369,10390481,9047790,105.0
2048,warm,False,2443852,0.210812,2702393,2445800,154.0
2048,warm,False,2544886,0.188145,2780251,2546860,150.0
2048,warm,False,2451357,0.203117,2704336,2453310,154.0
2048,warm,False,2256288,0.202109,2505918,2258310,152.0
2048,warm,False,2162941,0.149441,2361866,2164970,154.0
2048,warm,False,2249122,0.189264,2488735,2250960,150.0
2048,warm,False,2222851,0.258672,2524824,2224820,153.0
2048,warm,False,2242451,0.298028,2587687,2244350,153.0
2048,warm,False,2201770,0.217883,2467190,2203750,150.0
2048,warm,False,2176827,0.232753,2459030,2178840,154.0
2048,warm,False,2145382,0.261778,2452459,2147530,152.0
2048,warm,False,2187749,0.217397,2455773,2189740,154.0
2048,warm,False,2474401,0.207441,2733514,2476570,154.0
2048,warm,False,2249617,0.249957,2548225,2251630,152.0
2048,warm,False,2237180,0.2028,2491678,2239230,153.0
2048,warm,False,2290916,0.151481,2495105,2292890,154.0
2048,warm,False,2259391,0.265887,2573432,2261420,155.0
2048,warm,False,2199392,0.157941,2424675,2201330,156.0
2048,warm,False,2409964,0.21903,2676538,2411870,153.0
2048,warm,False,2267964,0.263745,2582912,2269910,151.0
2048,warm,False,2212587,0.138241,2404569,2214540,154.0
2048,warm,False,2417368,0.209209,2676126,2419430,154.0
2048,warm,False,2318935,0.273383,2640205,2321140,155.0
2048,warm,False,2311484,0.284442,2650435,2313470,152.0
2048,warm,False,2276704,0.174962,2500824,2278800,154.0
2048,warm,False,2105235,0.265034,2417729,2107210,154.0
2048,warm,False,2291008,0.121248,2461761,2292920,153.0
2048,warm,False,3649508,0.213091,4308249,3651490,155.0
2048,warm,False,2325324,0.22249,2599777,2327270,155.0
2048,warm,False,2357988,0.198442,2610612,2360000,152.0
2048,warm,False,2274666,0.283048,2604890,2276620,153.0
2048,warm,False,2267037,0.251077,2565113,2268830,153.0
2048,warm,False,2311659,0.188102,2545500,2313620,150.0
2048,warm,False,2442458,0.223809,2715310,2444380,154.0
2048,warm,False,2204035,0.25048,2502371,2205980,152.0
2048,warm,False,2259980,0.232178,2540131,2261950,156.0
2048,warm,False,2673555,0.248569,2971948,2675690,155.0
2048,warm,False,2180182,0.144942,2379716,2182220,153.0
2048,warm,False,2268862,0.227972,2553273,2271020,152.0
2048,warm,False,2229557,0.199712,2478738,2231650,154.0
2048,warm,False,2429716,0.228528,2706816,2431670,154.0
2048,warm,False,2417524,0.199739,2673404,2419490,155.0
2048,warm,False,2479130,0.187622,2725783,2481200,155.0
2048,warm,False,2282889,0.234299,2570419,2285100,154.0
2048,warm,False,2206070,0.177756,2433026,2208080,152.0
2048,warm,False,2265002,0.152555,2462543,2267110,152.0
2048,warm,False,2226953,0.212322,2484513,2229100,152.0
2048,warm,False,2301412,0.26521,2609158,2303540,152.0
2048,warm,False,2565866,0.233626,2846065,2567940,152.0
2048,warm,False,2235175,0.149507,2434381,2237140,153.0
1024,cold,True,3455113,0.258281,4364628,3460390,111.0
1024,cold,True,3604106,0.288925,4421293,3608340,110.0
1024,cold,True,3446843,0.264851,4298675,3449700,108.0
1024,cold,True,3558231,0.313934,4342707,3560580,106.0
1024,cold,True,3377816,0.239629,4306636,3381530,111.0
1024,cold,True,3233827,0.2904,4324782,3236690,108.0
