memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,332,0.323909,388857,19940,51.0
128,warm,False,317,0.33179,386154,8090,51.0
128,warm,False,326,0.364491,430425,2500,51.0
128,warm,False,343,0.325113,382738,2340,51.0
128,warm,False,309,0.317834,370208,2220,51.0
128,warm,False,326,0.410326,486609,12490,51.0
128,warm,False,343,0.384652,444089,12490,51.0
128,warm,False,333,0.382802,435298,2620,51.0
128,warm,False,322,0.386277,450813,2290,51.0
128,warm,False,329,0.32876,382179,2240,51.0
128,warm,False,355,0.343873,402854,15510,52.0
128,warm,False,348,0.3377,389625,2150,51.0
128,warm,False,328,0.314169,368167,2170,51.0
128,warm,False,322,0.285076,332949,7410,52.0
128,warm,False,316,0.336094,421153,2110,51.0
128,warm,False,334,0.385321,447018,2090,51.0
128,warm,False,329,0.331258,396140,2210,51.0
128,warm,False,322,0.329354,390178,2330,51.0
128,warm,False,330,0.332099,379115,2210,51.0
128,warm,False,325,0.380492,441993,2410,51.0
128,warm,False,316,0.285793,336676,2320,51.0
128,warm,False,327,0.334599,406082,2210,51.0
128,warm,False,362,0.418972,490610,10120,52.0
128,warm,False,325,0.406892,463208,2190,51.0
128,warm,False,329,0.376675,429162,2140,51.0
128,warm,False,323,0.37544,441502,2390,51.0
128,warm,False,314,0.325156,398011,2180,51.0
128,warm,False,335,0.392525,485037,20860,51.0
128,warm,False,326,0.355967,404106,2820,52.0
128,warm,False,329,0.32823,380794,8310,52.0
128,warm,False,331,0.376586,430087,2160,51.0
128,warm,False,325,0.310714,367704,2200,51.0
128,warm,False,317,0.353105,403290,13410,51.0
128,warm,False,345,0.351289,435489,19910,51.0
128,warm,False,313,0.373472,428532,6790,51.0
128,warm,False,319,0.354639,415318,13600,52.0
128,warm,False,333,0.361454,422307,2230,51.0
128,warm,False,332,0.391422,452085,12520,51.0
128,warm,False,330,0.306659,389312,16910,52.0
128,warm,False,322,0.327918,379212,2140,51.0
128,warm,False,315,0.297515,356090,2460,52.0
