memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,316,0.203257,260621,14580,51.0
128,warm,False,332,0.344072,402472,2090,51.0
128,warm,False,315,0.327156,393379,2120,51.0
128,warm,False,329,0.268502,342456,2210,50.0
128,warm,False,310,0.208792,275055,2160,50.0
128,warm,False,315,0.2904,352442,2160,51.0
128,warm,False,388,0.2127,300822,2430,50.0
128,warm,False,312,0.26837,352751,2250,51.0
128,warm,False,308,0.285274,334213,1960,50.0
128,warm,False,317,0.324058,373880,2130,51.0
128,warm,False,321,0.368642,415580,2290,50.0
128,warm,False,318,0.26081,339540,2210,51.0
128,warm,False,324,0.260881,314464,9450,50.0
128,warm,False,318,0.328788,379518,2020,51.0
128,warm,False,325,0.317179,370743,2380,51.0
128,warm,False,298,0.258014,312124,7220,50.0
128,warm,False,306,0.270631,325252,2170,51.0
128,warm,False,310,0.348072,397274,2210,51.0
128,warm,False,323,0.320043,380203,2180,51.0
128,warm,False,313,0.272799,350880,21160,51.0
128,warm,False,306,0.197193,279445,2160,51.0
128,warm,False,303,0.314305,368340,2140,50.0
128,warm,False,319,0.1646,216798,2200,51.0
128,warm,False,303,0.333746,387503,2120,51.0
128,warm,False,339,0.1651,212019,2170,50.0
128,warm,False,310,0.2387,321406,6310,51.0
128,warm,False,311,0.277842,354361,2510,50.0
128,warm,False,328,0.256867,324505,17940,51.0
128,warm,False,310,0.315817,372066,2250,51.0
128,warm,False,325,0.290681,344092,2290,50.0
128,warm,False,324,0.273002,352274,15640,51.0
128,warm,False,322,0.190355,245147,4450,51.0
128,warm,False,309,0.151923,201890,2190,51.0
128,warm,False,321,0.326463,374556,16900,51.0
128,warm,False,327,0.293844,348371,2230,50.0
128,warm,False,347,0.287336,342399,2190,51.0
128,warm,False,307,0.307752,376555,2290,51.0
128,warm,False,311,0.282507,336345,2230,51.0
128,warm,False,308,0.328678,384797,14090,50.0
128,warm,False,312,0.255773,307015,2060,51.0
128,warm,False,321,0.287606,354208,15250,51.0
128,warm,False,327,0.343176,392104,2190,51.0
128,warm,False,306,0.320743,370294,2120,51.0
128,warm,False,305,0.31779,365079,2150,51.0
128,warm,False,320,0.34287,391699,2230,51.0
128,warm,False,313,0.366717,427749,10680,51.0
128,warm,False,300,0.32522,377151,2120,51.0
128,warm,False,311,0.223646,296329,11030,51.0
128,warm,False,306,0.323043,369932,2200,51.0
128,warm,False,321,0.351757,405322,2470,51.0
256,warm,False,302,0.284485,341919,2150,51.0
256,warm,False,313,0.332586,389275,5430,51.0
256,warm,False,308,0.332007,384734,2070,50.0
256,warm,False,10530,0.169361,230870,12540,51.0
256,warm,False,306,0.270219,321220,7010,50.0
256,warm,False,288,0.298907,346154,2060,51.0
256,warm,False,308,0.231508,278041,2110,51.0
256,warm,False,307,0.308281,352030,2190,50.0
256,warm,False,301,0.319388,375938,9050,50.0
256,warm,False,309,0.28548,345326,12340,51.0
256,warm,False,294,0.320396,372652,7370,51.0
256,warm,False,307,0.298248,349585,13640,51.0
256,warm,False,285,0.264618,324481,14250,51.0
256,warm,False,308,0.309077,357982,3080,51.0
256,warm,False,379,0.291115,358697,8390,51.0
256,warm,False,311,0.348331,396250,3270,51.0
256,warm,False,297,0.313341,372213,12170,51.0
256,warm,False,298,0.325697,385288,2250,51.0
256,warm,False,310,0.241532,305553,8770,51.0
256,warm,False,298,0.331348,390435,8960,51.0
256,warm,False,310,0.261134,306541,2140,50.0
256,warm,False,326,0.22334,271606,1910,51.0
256,warm,False,300,0.331637,382928,1940,51.0
256,warm,False,345,0.35977,408530,2450,51.0
256,warm,False,318,0.309439,356018,14540,51.0
256,warm,False,299,0.310335,361964,5770,51.0
256,warm,False,298,0.32076,365550,1960,51.0
256,warm,False,337,0.297249,356995,8400,50.0
256,warm,False,292,0.311504,362945,12050,51.0
256,warm,False,319,0.310825,363348,2270,51.0
256,warm,False,301,0.243358,289065,2270,51.0
256,warm,False,302,0.159606,210045,2009,51.0
256,warm,False,309,0.31177,374670,13240,51.0
256,warm,False,329,0.282157,326917,2160,51.0
256,warm,False,309,0.320122,368602,2170,50.0
256,warm,False,307,0.267847,312879,2200,50.0
256,warm,False,314,0.259084,309944,14120,51.0
256,warm,False,308,0.316687,371694,10480,51.0
256,warm,False,311,0.281456,332096,2380,50.0
256,warm,False,307,0.248907,298543,2120,51.0
256,warm,False,297,0.338286,387291,1890,51.0
256,warm,False,302,0.137525,190422,2050,51.0
256,warm,False,310,0.255268,303870,2190,51.0
256,warm,False,302,0.306529,373334,1990,50.0
256,warm,False,311,0.14476,193540,1980,51.0
256,warm,False,379,0.251573,299053,2240,51.0
256,warm,False,295,0.297172,343365,5830,51.0
256,warm,False,292,0.323545,379642,14440,51.0
256,warm,False,322,0.29728,354166,2300,50.0
256,warm,False,362,0.303881,352485,2250,51.0
512,cold,True,337989,0.168796,1070842,341520,53.0
512,cold,True,328336,0.288853,937951,331840,53.0
512,cold,True,330723,0.290444,906190,334470,53.0
512,cold,True,313091,0.307868,931368,332940,53.0
512,cold,True,350415,0.297607,950282,354560,53.0
512,cold,True,340726,0.330323,956838,344450,53.0
512,cold,True,336898,0.315875,977618,394590,53.0
512,cold,True,336742,0.252785,899807,356760,53.0
512,cold,True,342438,0.340318,1004308,346020,51.0
512,cold,True,327920,0.278342,922264,347950,53.0
512,cold,True,331050,0.278405,909543,351040,53.0
512,cold,True,337467,0.288137,925676,341470,53.0
512,cold,True,326218,0.283142,952269,329950,53.0
512,cold,True,334735,0.146434,797003,338510,53.0
512,cold,True,339692,0.195097,873908,359510,53.0
512,cold,True,344840,0.265631,900221,348970,53.0
512,cold,True,330817,0.233692,882922,333750,53.0
512,cold,True,318021,0.270355,870180,320690,51.0
512,cold,True,316365,0.270434,883043,318900,51.0
512,cold,True,357061,0.182534,868102,378970,53.0
512,cold,True,334034,0.278922,930674,337450,53.0
512,cold,True,342336,0.245424,904178,376510,53.0
512,cold,True,323614,0.339136,986793,343250,53.0
512,cold,True,361202,0.273116,943442,365670,53.0
512,cold,True,339662,0.30876,956998,344510,53.0
512,cold,True,312715,0.239964,874130,330570,53.0
512,cold,True,339355,0.271221,919901,341950,53.0
512,cold,True,339307,0.318871,1046585,358020,51.0
512,cold,True,359256,0.293065,979146,378170,53.0
512,cold,True,336172,0.260589,900473,341650,53.0
512,cold,True,341364,0.280986,925420,359220,53.0
512,cold,True,314959,0.185112,846291,333850,51.0
512,cold,True,344075,0.169232,830003,347130,53.0
512,cold,True,339940,0.305679,927804,342580,53.0
512,cold,True,327552,0.303308,943848,347460,53.0
