memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,289,0.310637,356708,2020,51.0
128,warm,False,306,0.34121,399002,12130,51.0
128,warm,False,302,0.31546,367497,19250,51.0
128,warm,False,299,0.335873,396132,14240,51.0
128,warm,False,292,0.368502,434638,14530,51.0
128,warm,False,315,0.168089,310357,2100,51.0
128,warm,False,306,0.250279,318200,2370,51.0
128,warm,False,316,0.291347,347972,2290,51.0
128,warm,False,301,0.31928,377715,2270,51.0
128,warm,False,298,0.169808,246934,2000,51.0
128,warm,False,307,0.190342,242172,2100,51.0
128,warm,False,303,0.36476,412412,14110,51.0
128,warm,False,308,0.313362,369604,18010,51.0
128,warm,False,310,0.26113,351286,14620,50.0
128,warm,False,306,0.285618,345763,2270,51.0
128,warm,False,308,0.268192,315625,2150,51.0
128,warm,False,301,0.316994,373990,9620,51.0
128,warm,False,347,0.29611,350959,2270,51.0
128,warm,False,319,0.316496,365788,2100,51.0
128,warm,False,295,0.326418,385944,17870,51.0
128,warm,False,300,0.168881,243976,2040,51.0
128,warm,False,304,0.311794,359663,2100,51.0
128,warm,False,300,0.304142,351840,2050,51.0
128,warm,False,311,0.336539,392354,2310,51.0
128,warm,False,317,0.397235,457562,16370,51.0
128,warm,False,355,0.157563,215323,2230,50.0
128,warm,False,306,0.354592,416414,20000,51.0
128,warm,False,350,0.336676,389753,2460,51.0
128,warm,False,303,0.354002,411894,20090,51.0
128,warm,False,306,0.357714,416177,2270,50.0
128,warm,False,304,0.352826,405960,1970,51.0
128,warm,False,313,0.320186,379853,12390,51.0
128,warm,False,303,0.163947,309122,12060,51.0
128,warm,False,296,0.367429,417304,8210,51.0
128,warm,False,302,0.377877,431857,2009,50.0
128,warm,False,306,0.323909,381996,2060,51.0
128,warm,False,308,0.307162,356641,2240,51.0
128,warm,False,305,0.273311,342480,2070,51.0
128,warm,False,312,0.317816,367373,2120,51.0
128,warm,False,294,0.315091,367989,13900,51.0
128,warm,False,308,0.318362,374777,2210,50.0
128,warm,False,381,0.284585,332767,2340,50.0
128,warm,False,293,0.358422,412204,2029,51.0
128,warm,False,303,0.363247,417668,2350,50.0
128,warm,False,311,0.320811,371344,2260,51.0
128,warm,False,303,0.309053,358093,2090,51.0
128,warm,False,302,0.180752,298282,13040,51.0
128,warm,False,295,0.282993,397245,60790,51.0
128,warm,False,294,0.163003,280732,1890,51.0
128,warm,False,301,0.359423,421601,9110,51.0
256,warm,False,304,0.264074,312175,2220,51.0
256,warm,False,302,0.118074,168554,3260,51.0
256,warm,False,306,0.264245,316301,2370,51.0
256,warm,False,302,0.225905,278158,2100,51.0
256,warm,False,293,0.319459,366954,9900,51.0
256,warm,False,303,0.196713,249894,2250,50.0
256,warm,False,301,0.183274,231614,2070,51.0
256,warm,False,308,0.215389,262792,14450,50.0
256,warm,False,294,0.272105,321985,1980,51.0
256,warm,False,313,0.205161,252226,2009,51.0
256,warm,False,303,0.262267,308463,5730,51.0
256,warm,False,299,0.322088,373626,2000,51.0
256,warm,False,297,0.240958,295766,2200,51.0
256,warm,False,312,0.205992,251884,2250,50.0
256,warm,False,294,0.259087,304547,4380,51.0
256,warm,False,302,0.282917,329657,3750,51.0
256,warm,False,298,0.286657,331826,1910,51.0
256,warm,False,300,0.299263,355072,12970,50.0
256,warm,False,299,0.239545,291778,1920,51.0
256,warm,False,298,0.278155,326802,2009,51.0
256,warm,False,292,0.338923,384274,1930,51.0
256,warm,False,338,0.33249,381470,2990,50.0
256,warm,False,300,0.205669,251130,2120,51.0
256,warm,False,295,0.231111,274093,2380,51.0
256,warm,False,308,0.262776,311215,14110,51.0
256,warm,False,296,0.217634,265078,1920,51.0
256,warm,False,307,0.220737,268636,2100,51.0
256,warm,False,315,0.206456,253932,9390,50.0
256,warm,False,294,0.285845,330342,11530,51.0
256,warm,False,298,0.223434,273453,2009,51.0
256,warm,False,303,0.205904,253383,3150,50.0
256,warm,False,307,0.316758,360444,2090,51.0
256,warm,False,295,0.215657,262078,1980,51.0
256,warm,False,309,0.230739,288653,7480,50.0
256,warm,False,292,0.19367,244152,1970,50.0
256,warm,False,339,0.299367,351606,2170,51.0
256,warm,False,299,0.316863,362415,8370,51.0
256,warm,False,307,0.299303,350091,2130,51.0
256,warm,False,297,0.314396,359066,2070,51.0
256,warm,False,304,0.202359,251822,2290,51.0
256,warm,False,301,0.214027,263008,2060,51.0
256,warm,False,298,0.215917,266868,1840,51.0
256,warm,False,300,0.30824,368630,12590,51.0
256,warm,False,295,0.18229,228418,1960,51.0
256,warm,False,321,0.290492,341510,2680,51.0
256,warm,False,302,0.22669,286618,12880,51.0
256,warm,False,305,0.2097,264288,2100,51.0
256,warm,False,299,0.197597,244453,1960,51.0
256,warm,False,291,0.185705,229458,1890,51.0
256,warm,False,309,0.271658,320470,3300,51.0
512,cold,True,338799,0.28647,912760,342980,53.0
512,cold,True,333443,0.237993,857229,337210,53.0
512,cold,True,335911,0.291374,912150,338740,53.0
512,cold,True,322495,0.220915,811871,326680,53.0
512,cold,True,326109,0.190732,796227,328530,51.0
512,cold,True,325017,0.232414,844935,342560,51.0
512,cold,True,325323,0.193554,822858,343000,51.0
512,cold,True,349257,0.186078,813762,352400,53.0
512,cold,True,336035,0.195904,812482,338570,51.0
512,cold,True,321446,0.227945,853446,336920,51.0
512,cold,True,339438,0.286007,909021,342420,53.0
512,cold,True,325705,0.219219,848770,329580,53.0
512,cold,True,322253,0.246488,913177,324590,51.0
512,cold,True,361484,0.241497,897301,364940,53.0
512,cold,True,312907,0.199782,789483,331810,53.0
512,cold,True,337063,0.160166,768891,340790,53.0
512,cold,True,322300,0.224,887885,324960,51.0
512,cold,True,319880,0.247473,909860,325260,53.0
512,cold,True,332192,0.298134,927926,350310,53.0
512,cold,True,326305,0.23573,850269,328810,51.0
512,cold,True,295481,0.278592,870666,311190,51.0
512,cold,True,344177,0.224664,859611,346900,51.0
512,cold,True,327949,0.198319,830888,346420,53.0
512,cold,True,321921,0.208131,819509,325230,53.0
