memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,14095,0.31857,383072,54110,48.0
128,warm,False,1957,0.281919,368480,40410,47.0
128,warm,False,33996,0.334161,414946,35930,47.0
128,warm,False,6122,0.310475,369716,26860,47.0
128,warm,False,18119,0.322691,393553,38710,47.0
128,warm,False,1904,0.345247,398319,23770,47.0
128,warm,False,1917,0.286523,354735,20040,47.0
128,warm,False,18107,0.358386,423461,38280,47.0
128,warm,False,14057,0.287397,347727,33200,47.0
128,warm,False,1837,0.318935,389908,43330,48.0
128,warm,False,1876,0.351278,417742,18120,47.0
128,warm,False,1853,0.311501,367360,14260,47.0
128,warm,False,1924,0.293019,347146,8100,47.0
128,warm,False,10107,0.340757,399539,12020,47.0
128,warm,False,2039,0.311851,371178,11240,47.0
128,warm,False,1920,0.36594,429445,14480,47.0
128,warm,False,1936,0.292854,351464,25130,47.0
128,warm,False,1960,0.272761,327474,10040,47.0
128,warm,False,6038,0.233482,289295,7970,48.0
128,warm,False,1980,0.241122,295485,11850,47.0
128,warm,False,1829,0.297226,349585,41290,47.0
128,warm,False,1898,0.262866,313907,3680,47.0
128,warm,False,14105,0.348758,412490,33500,48.0
128,warm,False,1952,0.346771,400513,24860,47.0
128,warm,False,1843,0.363168,427821,28870,47.0
128,warm,False,1921,0.303454,371593,40070,48.0
128,warm,False,1785,0.217836,275767,20070,47.0
128,warm,False,1900,0.360433,413578,30030,47.0
128,warm,False,31825,0.300799,378896,53560,47.0
128,warm,False,1894,0.232003,281697,25140,47.0
128,warm,False,1912,0.2853,344534,29860,47.0
128,warm,False,34225,0.274273,357776,36120,47.0
128,warm,False,1995,0.287433,346409,18660,47.0
128,warm,False,1912,0.358711,423377,53240,47.0
128,warm,False,2072,0.336387,382834,22320,47.0
128,warm,False,14180,0.314655,378230,35020,47.0
128,warm,False,1996,0.316638,383519,53860,47.0
128,warm,False,1938,0.349366,412035,31650,47.0
128,warm,False,1890,0.272231,321332,8540,47.0
128,warm,False,1785,0.353515,438795,35860,47.0
128,warm,False,1879,0.303353,367889,16300,47.0
128,warm,False,6839,0.372074,442202,17430,47.0
128,warm,False,1920,0.304513,358974,49120,47.0
128,warm,False,1802,0.299877,372557,3460,47.0
128,warm,False,10125,0.306997,372708,30330,47.0
128,warm,False,1892,0.253315,343873,36020,47.0
128,warm,False,2620,0.270028,321912,32630,47.0
128,warm,False,34135,0.303369,389331,54900,48.0
128,warm,False,5887,0.260217,324721,7990,47.0
128,warm,False,18028,0.382442,450689,19950,47.0
256,warm,False,2084,0.222439,275220,15100,48.0
256,warm,False,2136,0.186798,242979,10790,47.0
256,warm,False,5960,0.296598,349395,7450,48.0
256,warm,False,10285,0.280796,342784,11960,48.0
256,warm,False,1892,0.232547,284169,3710,48.0
256,warm,False,1897,0.292071,353229,11280,48.0
256,warm,False,2042,0.211171,288249,4160,48.0
256,warm,False,1883,0.22281,276698,8380,47.0
256,warm,False,1850,0.232951,284736,3650,47.0
256,warm,False,1982,0.298894,347177,4470,48.0
256,warm,False,14057,0.312167,373086,15920,48.0
256,warm,False,1849,0.307698,364565,5230,48.0
256,warm,False,1937,0.332484,402396,14110,48.0
256,warm,False,1984,0.24164,296402,12090,47.0
256,warm,False,1859,0.220547,273362,11640,48.0
256,warm,False,1891,0.204626,258851,9580,48.0
256,warm,False,1885,0.229266,292541,3720,48.0
256,warm,False,1890,0.268325,313675,3630,48.0
256,warm,False,2027,0.229681,284868,20610,48.0
256,warm,False,1808,0.238789,293007,3520,48.0
256,warm,False,1890,0.209094,261604,3750,47.0
256,warm,False,1942,0.312639,358970,3830,48.0
256,warm,False,1810,0.238523,311381,20060,48.0
256,warm,False,1929,0.321286,373021,3720,47.0
256,warm,False,1912,0.209716,263743,4160,48.0
256,warm,False,1846,0.193411,242281,15650,47.0
256,warm,False,1862,0.193647,243080,3680,47.0
256,warm,False,1867,0.336728,402121,14300,48.0
256,warm,False,1849,0.216212,268502,3660,47.0
256,warm,False,1934,0.243644,292185,3650,48.0
256,warm,False,1877,0.221509,275840,13020,48.0
256,warm,False,1855,0.229584,284725,3510,48.0
256,warm,False,1851,0.201052,250557,3680,47.0
256,warm,False,1832,0.279868,329038,3320,48.0
256,warm,False,2093,0.189913,241955,18520,48.0
256,warm,False,1863,0.284076,333513,3570,47.0
256,warm,False,2054,0.298194,347670,3880,48.0
256,warm,False,2074,0.268006,321380,20250,48.0
256,warm,False,1908,0.213601,262949,3590,48.0
256,warm,False,1875,0.285483,334774,3640,48.0
256,warm,False,6035,0.324247,386620,7750,48.0
256,warm,False,1962,0.244843,291004,4000,48.0
256,warm,False,1987,0.247556,296751,3930,48.0
256,warm,False,2100,0.17423,235134,22630,47.0
256,warm,False,1957,0.218987,323314,12420,48.0
256,warm,False,1924,0.296862,349080,5820,48.0
256,warm,False,1818,0.323161,372453,3570,47.0
256,warm,False,1910,0.212837,260811,3500,48.0
256,warm,False,1798,0.194223,242206,16530,48.0
256,warm,False,1920,0.318186,364979,3860,48.0
512,cold,True,221533,0.245329,784411,224510,46.0
512,cold,True,237965,0.298075,861067,241980,47.0
512,cold,True,225639,0.177294,711854,243880,47.0
512,cold,True,207823,0.231449,755409,211530,47.0
512,cold,True,203898,0.284375,771224,223080,47.0
512,cold,True,210687,0.291032,794194,247090,47.0
512,cold,True,215479,0.215485,698047,218250,47.0
512,cold,True,215279,0.292783,791779,232430,47.0
512,cold,True,220057,0.225918,761531,224060,47.0
512,cold,True,184491,0.309546,788925,188280,47.0
512,cold,True,211408,0.303763,776896,215220,47.0
512,cold,True,216463,0.220453,718174,220130,47.0
512,cold,True,221617,0.242781,748849,224270,46.0
512,cold,True,214985,0.222974,759458,219070,47.0
512,cold,True,206046,0.21903,721379,226460,47.0
512,cold,True,206720,0.254869,755404,223480,46.0
512,cold,True,209994,0.182151,748723,227150,46.0
512,cold,True,208144,0.197208,682553,211780,47.0
512,cold,True,224259,0.24026,801211,239700,46.0
512,cold,True,207334,0.190939,669346,211010,47.0
512,cold,True,218958,0.178192,668417,222760,47.0
512,cold,True,211975,0.278972,761384,214860,46.0
512,cold,True,214335,0.312438,854735,218680,47.0
512,cold,True,201409,0.213698,756144,217750,47.0
512,cold,True,195027,0.262799,772777,210150,46.0
512,cold,True,213697,0.2202,707689,217550,47.0
512,cold,True,214315,0.094457,605884,218320,47.0
512,cold,True,217794,0.194714,727324,237520,47.0
512,cold,True,209724,0.267975,792305,226900,46.0
512,cold,True,205115,0.217262,694143,208000,46.0
512,cold,True,217008,0.239299,776011,220650,47.0
512,cold,True,216383,0.176314,686901,236940,47.0
512,cold,True,211745,0.230595,778609,215890,47.0
512,cold,True,204603,0.238833,716756,207690,47.0
512,cold,True,208126,0.177497,685658,211940,47.0
512,cold,True,220444,0.236608,759515,238790,47.0
512,cold,True,232863,0.255798,785344,235790,46.0
512,cold,True,221772,0.252791,807423,224350,47.0
512,cold,True,218651,0.255142,807971,222650,47.0
