memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
4096,cold,True,1938916,0.329497,2847870,1942130,335.0
4096,cold,True,1895765,0.275487,2745321,1898750,336.0
4096,cold,True,2001135,0.263921,2858328,2004250,336.0
4096,cold,True,2062190,0.291342,2948458,2065739,336.0
4096,cold,True,1971752,0.217569,2767935,1975280,336.0
4096,cold,True,1929780,0.167715,2684882,1932150,330.0
4096,cold,True,2041792,0.247103,2883882,2044340,338.0
4096,cold,True,1894940,0.204851,2680761,1897520,332.0
4096,cold,True,1935790,0.316467,2823241,1938260,337.0
4096,cold,True,1933370,0.251733,2747201,1935800,334.0
4096,cold,True,1967296,0.320586,2891657,1970310,334.0
4096,cold,True,2687247,0.259964,4320268,2689610,332.0
4096,cold,True,2071260,0.242491,2886206,2074719,334.0
4096,cold,True,2000239,0.253143,2859113,2002690,336.0
4096,cold,True,2083303,0.248584,2942795,2086469,335.0
4096,cold,True,1983003,0.278756,2850861,1985800,334.0
4096,cold,True,1965750,0.257071,2814624,1968060,337.0
4096,cold,True,1973061,0.318078,2971038,1976450,332.0
4096,cold,True,2051070,0.252536,2869710,2054000,332.0
4096,cold,True,2013732,0.217512,2805025,2016560,334.0
4096,cold,True,2928192,0.226638,4261578,2931070,332.0
4096,cold,True,2016287,0.192192,2824030,2019430,335.0
4096,cold,True,1889332,0.250483,2712706,1891430,334.0
4096,cold,True,2009434,0.24309,2831152,2011970,336.0
4096,cold,True,2162770,0.302643,3045334,2166230,333.0
4096,cold,True,2227215,0.20509,3019729,2229470,331.0
4096,cold,True,2046006,0.273589,2926981,2048679,334.0
4096,cold,True,2030197,0.248841,2877217,2033510,335.0
4096,cold,True,1967614,0.232407,2774407,1970310,333.0
4096,cold,True,2022392,0.256634,2832820,2024830,334.0
4096,cold,True,1974142,0.224428,2811973,1977600,334.0
4096,cold,True,2144839,0.177341,2973487,2147540,335.0
4096,cold,True,1945680,0.17213,2731009,1948310,331.0
4096,cold,True,2199325,0.192417,3020480,2201960,335.0
4096,cold,True,1884693,0.247443,2727811,1887030,334.0
4096,cold,True,2057014,0.273179,2912322,2059360,334.0
4096,cold,True,1922232,0.20624,2758080,1925640,335.0
4096,cold,True,2119420,0.232195,2925015,2122000,333.0
4096,cold,True,2098333,0.289751,3021563,2100660,334.0
4096,cold,True,2264664,0.19612,3044033,2267530,331.0
4096,cold,True,2068853,0.217354,2899571,2072900,334.0
4096,cold,True,1906646,0.23466,2730009,1909270,330.0
4096,cold,True,2153841,0.164052,2888368,2156370,335.0
4096,cold,True,2387770,0.183411,3197455,2390900,334.0
4096,cold,True,2117788,0.24,2972612,2120410,336.0
4096,cold,True,2096564,0.27089,2940240,2099000,336.0
4096,cold,True,2039464,0.188783,2821287,2042670,335.0
