memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,306,0.320767,367169,1910,52.0
128,warm,False,293,0.199883,315245,1970,51.0
128,warm,False,317,0.28659,337571,2000,51.0
128,warm,False,309,0.282712,338668,2050,51.0
128,warm,False,297,0.291657,338061,2490,52.0
128,warm,False,301,0.206459,282862,1940,52.0
128,warm,False,306,0.267866,319207,1920,51.0
128,warm,False,312,0.290331,334814,2100,51.0
128,warm,False,307,0.175412,224539,2160,52.0
128,warm,False,341,0.312634,370990,2160,51.0
128,warm,False,449,0.200835,310611,15000,52.0
128,warm,False,315,0.176895,223028,1860,52.0
128,warm,False,301,0.330488,384889,1860,52.0
128,warm,False,304,0.257722,311644,1760,52.0
128,warm,False,310,0.204385,282883,1990,52.0
128,warm,False,325,0.214475,284324,4430,52.0
128,warm,False,381,0.282388,346235,2360,52.0
128,warm,False,303,0.346174,406192,2240,52.0
128,warm,False,289,0.348074,392380,16280,51.0
128,warm,False,326,0.31952,369714,1960,52.0
128,warm,False,288,0.156222,248884,1820,52.0
128,warm,False,306,0.334852,384568,2110,52.0
128,warm,False,354,0.268935,322432,8570,52.0
128,warm,False,325,0.332086,393169,15180,52.0
128,warm,False,310,0.304754,352564,12100,51.0
128,warm,False,303,0.327457,377438,2140,51.0
128,warm,False,306,0.183298,290927,1860,52.0
128,warm,False,646,0.232694,326076,17700,51.0
128,warm,False,328,0.279453,327377,13210,52.0
128,warm,False,342,0.285397,336132,2410,52.0
128,warm,False,355,0.301167,354165,2170,52.0
128,warm,False,469,0.219354,277445,2600,51.0
128,warm,False,308,0.288744,342094,2029,52.0
128,warm,False,329,0.325197,376155,2930,52.0
128,warm,False,347,0.221257,296701,2000,52.0
128,warm,False,303,0.352599,415401,1970,52.0
128,warm,False,306,0.293832,343735,20450,52.0
128,warm,False,392,0.297809,362589,2110,52.0
128,warm,False,331,0.267497,329363,13860,52.0
128,warm,False,297,0.326647,380712,13420,52.0
128,warm,False,327,0.297975,348055,4740,51.0
128,warm,False,318,0.191446,259229,5120,52.0
128,warm,False,299,0.278499,337784,1940,51.0
128,warm,False,295,0.285879,331831,15860,52.0
128,warm,False,315,0.196184,284428,1770,52.0
128,warm,False,301,0.189521,276023,8980,52.0
128,warm,False,298,0.295488,345429,1980,52.0
128,warm,False,353,0.2878,345993,6960,51.0
128,warm,False,315,0.286704,339284,2080,52.0
128,warm,False,287,0.2074,327684,1850,52.0
256,warm,False,303,0.133525,187083,2009,52.0
256,warm,False,307,0.216461,270118,2080,51.0
256,warm,False,321,0.268679,334500,2070,52.0
256,warm,False,304,0.297243,343475,2190,52.0
256,warm,False,320,0.178679,231684,1890,52.0
256,warm,False,299,0.176367,225319,1950,52.0
256,warm,False,308,0.205256,256304,12210,52.0
256,warm,False,314,0.232271,290477,10290,52.0
256,warm,False,374,0.196145,241923,11870,52.0
256,warm,False,298,0.298874,349170,2220,52.0
256,warm,False,306,0.137337,182592,6250,52.0
256,warm,False,299,0.253236,298580,13260,52.0
256,warm,False,334,0.319226,368347,9200,52.0
256,warm,False,324,0.257098,308335,1890,52.0
256,warm,False,329,0.264309,308370,1900,52.0
256,warm,False,310,0.29685,356487,2320,52.0
256,warm,False,326,0.284736,331320,2070,52.0
256,warm,False,334,0.220814,270057,2710,52.0
256,warm,False,338,0.237423,287908,2200,52.0
256,warm,False,317,0.226967,283249,1980,52.0
256,warm,False,306,0.290896,338430,1740,52.0
256,warm,False,378,0.176503,222266,5800,52.0
256,warm,False,332,0.317565,362274,1900,52.0
256,warm,False,317,0.190752,237586,2009,52.0
256,warm,False,324,0.200357,248969,8020,52.0
256,warm,False,307,0.167318,216475,2920,52.0
256,warm,False,304,0.144149,195564,1970,52.0
256,warm,False,332,0.286494,337091,2400,52.0
256,warm,False,352,0.246332,292159,1990,52.0
256,warm,False,301,0.306653,354608,6300,52.0
256,warm,False,313,0.186611,238799,2360,52.0
256,warm,False,322,0.167606,214423,2090,52.0
256,warm,False,317,0.290694,342142,2060,52.0
256,warm,False,307,0.320079,380119,10000,52.0
256,warm,False,304,0.263255,309169,2060,52.0
256,warm,False,307,0.287267,352435,13610,52.0
256,warm,False,304,0.221765,269092,1980,52.0
256,warm,False,314,0.287012,338651,2620,52.0
256,warm,False,302,0.158788,210869,2290,52.0
256,warm,False,311,0.159451,208454,2090,52.0
256,warm,False,350,0.286108,334040,12870,52.0
256,warm,False,309,0.138295,198275,2080,52.0
256,warm,False,333,0.199952,246182,2220,52.0
256,warm,False,299,0.210036,251905,2020,51.0
256,warm,False,317,0.279451,341013,12920,52.0
256,warm,False,348,0.288977,342720,2390,52.0
256,warm,False,309,0.290717,340173,1930,52.0
256,warm,False,305,0.169201,219826,1830,52.0
256,warm,False,315,0.204107,253598,2070,52.0
256,warm,False,311,0.17166,234860,10150,52.0
512,cold,True,276386,0.241634,793500,279240,51.0
512,cold,True,275524,0.297857,872547,278350,51.0
512,cold,True,275123,0.308194,874662,277580,51.0
512,cold,True,268181,0.272628,853265,271090,51.0
512,cold,True,265617,0.244889,781045,268980,51.0
512,cold,True,279582,0.17511,802667,296880,51.0
512,cold,True,270192,0.283277,877913,286590,51.0
512,cold,True,266457,0.185297,738595,269700,51.0
512,cold,True,269494,0.172492,745562,273250,51.0
512,cold,True,301507,0.277635,886721,305220,51.0
512,cold,True,269158,0.286952,875250,287340,51.0
512,cold,True,267445,0.273306,810383,270050,51.0
512,cold,True,277054,0.305719,877502,293350,51.0
512,cold,True,300900,0.176023,817103,305830,51.0
512,cold,True,270152,0.246501,803343,273540,51.0
512,cold,True,272780,0.326936,873371,275380,51.0
512,cold,True,275688,0.234284,824295,292490,51.0
512,cold,True,282164,0.245626,824509,298620,51.0
512,cold,True,283580,0.258649,880994,288330,51.0
512,cold,True,280759,0.286909,852362,283600,51.0
512,cold,True,293569,0.287361,932306,297460,51.0
512,cold,True,287598,0.276451,881047,305240,51.0
512,cold,True,281415,0.256721,864044,285200,51.0
512,cold,True,269520,0.306582,898444,284560,51.0
512,cold,True,272623,0.307597,897030,275370,51.0
512,cold,True,279769,0.322589,877301,282610,51.0
512,cold,True,270078,0.297413,847993,273810,51.0
512,cold,True,253743,0.160744,734763,271450,51.0
512,cold,True,306343,0.3297,928606,310260,51.0
512,cold,True,269092,0.281346,836634,286260,51.0
512,cold,True,278412,0.24146,814799,295030,51.0
512,cold,True,271521,0.280245,860520,275720,51.0
512,cold,True,269419,0.274154,849013,272320,51.0
512,cold,True,267225,0.185103,739901,269820,51.0
512,cold,True,282164,0.276009,849962,293710,51.0
512,cold,True,269639,0.286293,836961,273180,51.0
512,cold,True,266360,0.28102,823267,269270,51.0
512,cold,True,274439,0.245814,850890,291140,51.0
512,cold,True,294495,0.279324,882943,313580,51.0
512,cold,True,266219,0.165124,710438,269730,51.0
512,cold,True,272150,0.168323,723674,274560,51.0
512,cold,True,272683,0.29147,850381,276770,51.0
512,cold,True,268326,0.264946,824984,286080,51.0
512,cold,True,278624,0.228208,800614,282560,51.0
512,cold,True,278696,0.24531,822432,296750,51.0
512,cold,True,282852,0.255698,809535,286480,51.0
512,cold,True,271613,0.175197,805032,274440,51.0
512,cold,True,281059,0.269183,865352,283710,51.0
512,cold,True,274111,0.290334,852281,277390,51.0
512,cold,True,270049,0.254018,804053,273750,51.0
512,warm,False,301,0.18196,244795,2210,52.0
512,warm,False,303,0.290261,345303,1750,51.0
512,warm,False,307,0.290556,338603,2750,52.0
512,warm,False,308,0.295029,340055,1690,52.0
512,warm,False,298,0.269509,316971,1810,52.0
512,warm,False,308,0.261537,313465,2230,52.0
512,warm,False,307,0.319643,368916,2460,52.0
512,warm,False,301,0.290769,340713,2060,52.0
512,warm,False,306,0.287436,337022,1730,52.0
512,warm,False,320,0.30726,356601,2130,53.0
512,warm,False,274,0.216173,259678,1530,52.0
512,warm,False,306,0.293581,339370,1880,52.0
512,warm,False,296,0.252655,299753,2480,52.0
512,warm,False,302,0.287875,336951,1960,52.0
512,warm,False,317,0.31197,359631,1880,52.0
512,warm,False,315,0.231238,289044,2110,52.0
512,warm,False,373,0.323241,371365,1960,52.0
512,warm,False,299,0.260801,313281,2410,52.0
512,warm,False,304,0.332399,386677,1850,52.0
512,warm,False,323,0.310149,355851,1960,52.0
512,warm,False,299,0.321192,370811,5950,52.0
512,warm,False,299,0.290904,336309,1800,52.0
512,warm,False,325,0.321674,368899,2170,52.0
512,warm,False,307,0.318694,368239,2370,52.0
512,warm,False,305,0.325174,369815,1950,52.0
512,warm,False,322,0.183051,232834,1980,52.0
512,warm,False,292,0.176559,301404,2009,52.0
512,warm,False,316,0.135746,198107,1960,52.0
512,warm,False,276,0.198249,254620,1600,52.0
512,warm,False,327,0.181953,229372,1820,52.0
512,warm,False,337,0.328899,375484,1950,52.0
512,warm,False,311,0.325988,373796,1990,52.0
512,warm,False,287,0.182823,231492,1620,52.0
512,warm,False,316,0.310155,359578,1990,52.0
512,warm,False,300,0.180224,227992,1860,52.0
512,warm,False,301,0.310889,360963,1930,52.0
512,warm,False,317,0.293732,340650,1950,52.0
512,warm,False,298,0.180175,248256,1840,52.0
512,warm,False,301,0.29989,349304,1790,53.0
512,warm,False,298,0.178449,227141,1780,52.0
512,warm,False,303,0.167344,230548,1920,52.0
512,warm,False,302,0.174915,223021,1990,52.0
512,warm,False,325,0.25767,301653,2090,52.0
512,warm,False,298,0.199191,303721,1880,52.0
512,warm,False,301,0.296134,350693,2029,52.0
512,warm,False,330,0.195572,265380,1940,52.0
512,warm,False,305,0.16708,212241,1980,52.0
512,warm,False,296,0.201366,256242,1830,52.0
512,warm,False,304,0.168956,216605,1870,52.0
512,warm,False,299,0.252491,303926,1830,52.0
256,cold,True,606589,0.179249,1065168,626610,51.0
256,cold,True,632104,0.252821,1182285,652100,51.0
256,cold,True,608641,0.241658,1135154,612340,51.0
256,cold,True,568969,0.23627,1102726,588570,51.0
256,cold,True,593467,0.299504,1189157,614450,51.0
256,cold,True,579434,0.303591,1187470,617980,51.0
256,cold,True,583119,0.28253,1166567,587240,51.0
256,cold,True,550416,0.194043,1072899,570960,51.0
256,cold,True,615967,0.248642,1189788,635440,51.0
256,cold,True,556051,0.304778,1141115,558470,51.0
256,cold,True,576546,0.310639,1184159,597170,51.0
256,cold,True,594999,0.27693,1168653,614580,51.0
256,cold,True,569400,0.254146,1115354,589270,51.0
256,cold,True,564115,0.316897,1151603,567770,51.0
256,cold,True,575392,0.299698,1161214,594900,51.0
256,cold,True,588083,0.291507,1154941,608030,51.0
256,cold,True,597096,0.181274,1087639,617830,51.0
256,cold,True,588872,0.242424,1139332,591860,51.0
256,cold,True,609337,0.309275,1206479,630740,51.0
256,cold,True,581298,0.294683,1183676,601430,51.0
256,cold,True,602117,0.217279,1128236,606080,51.0
256,cold,True,591318,0.264701,1154648,611980,51.0
256,cold,True,593941,0.314627,1241916,614930,51.0
256,cold,True,582818,0.304107,1195655,604980,51.0
256,cold,True,589239,0.301589,1189240,609960,51.0
256,cold,True,593633,0.206824,1096822,615540,51.0
256,cold,True,623775,0.262173,1221308,644250,51.0
256,cold,True,553959,0.264298,1071069,573910,51.0
256,cold,True,594535,0.229465,1144554,615770,51.0
256,cold,True,594938,0.278956,1147132,598640,51.0
256,cold,True,585772,0.239243,1118812,588950,51.0
256,cold,True,590152,0.25768,1116349,593970,51.0
256,cold,True,566081,0.225665,1063281,585920,51.0
256,cold,True,611666,0.245426,1162620,615710,51.0
256,cold,True,561886,0.215187,1074225,565530,51.0
256,cold,True,599170,0.238235,1126998,619010,51.0
256,cold,True,579387,0.181791,1059758,599810,51.0
256,cold,True,581732,0.324314,1237222,601730,51.0
256,cold,True,584224,0.295648,1192598,606350,51.0
256,cold,True,566982,0.265157,1129396,586760,51.0
256,cold,True,566107,0.208872,1068307,586750,51.0
256,cold,True,604939,0.22351,1178853,624800,51.0
256,cold,True,646243,0.274405,1266328,666460,51.0
256,cold,True,587266,0.304557,1221039,608030,51.0
256,cold,True,582475,0.278869,1145462,603550,51.0
256,cold,True,680595,0.220262,1195562,684910,51.0
256,cold,True,603996,0.244566,1180306,624910,51.0
256,cold,True,604019,0.274298,1200872,626170,51.0
256,cold,True,600698,0.221067,1133559,620710,51.0
256,cold,True,610856,0.30142,1240259,630730,51.0
128,cold,True,1224021,0.303137,2330665,1264000,51.0
128,cold,True,1220431,0.315066,2384458,1242540,51.0
128,cold,True,1181389,0.23585,2267946,1220700,51.0
128,cold,True,1228439,0.337117,2375540,1267960,51.0
128,cold,True,813664,0.258083,2308334,835060,51.0
128,cold,True,1289012,0.235597,2264256,1328890,51.0
128,cold,True,1266785,0.261214,2311374,1308090,51.0
128,cold,True,1257453,0.161468,2231874,1298640,51.0
128,cold,True,1219054,0.272508,2319175,1258920,51.0
128,cold,True,1246281,0.288643,2320120,1268130,51.0
128,cold,True,1227170,0.267832,2319709,1266770,51.0
128,cold,True,1233952,0.252235,2281376,1274490,51.0
128,cold,True,1241103,0.272611,2322343,1281170,51.0
128,cold,True,1258883,0.264724,2317351,1299760,51.0
128,cold,True,1269400,0.255726,2285466,1291840,51.0
128,cold,True,1221566,0.250708,2285397,1243960,51.0
128,cold,True,1199124,0.301135,2333148,1221080,51.0
128,cold,True,1282379,0.258195,2288625,1304220,51.0
128,cold,True,1274157,0.2844,2315366,1295290,51.0
128,cold,True,1216095,0.196997,2245265,1257370,51.0
128,cold,True,1271035,0.202871,2290734,1310970,51.0
128,cold,True,1216546,0.156315,2214125,1256470,51.0
128,cold,True,1214096,0.305136,2332633,1235980,51.0
128,cold,True,1180690,0.27557,2307101,1220720,51.0
128,cold,True,1224046,0.253407,2280433,1264050,51.0
