memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,285,0.258325,305808,2150,52.0
128,warm,False,297,0.299665,354739,3090,51.0
128,warm,False,299,0.292916,339625,2060,52.0
128,warm,False,304,0.272207,327981,2070,51.0
128,warm,False,292,0.311138,372990,12340,52.0
128,warm,False,298,0.284562,344093,2029,51.0
128,warm,False,299,0.313723,364317,2020,52.0
128,warm,False,302,0.334255,409448,14110,51.0
128,warm,False,310,0.214711,267158,2020,52.0
128,warm,False,289,0.246936,306294,12350,51.0
128,warm,False,284,0.296118,353624,1930,52.0
128,warm,False,285,0.271291,321096,2380,51.0
128,warm,False,296,0.287155,352220,13030,51.0
128,warm,False,288,0.309026,380855,9070,51.0
128,warm,False,343,0.310331,383311,14310,51.0
128,warm,False,303,0.259595,309739,2140,52.0
128,warm,False,285,0.313914,367290,2200,51.0
128,warm,False,295,0.334593,409466,14850,52.0
128,warm,False,304,0.363502,430043,14380,52.0
128,warm,False,315,0.271378,319076,1980,51.0
128,warm,False,300,0.302884,377547,21000,52.0
128,warm,False,320,0.259823,317071,2000,51.0
128,warm,False,289,0.262099,309736,2150,52.0
128,warm,False,290,0.141935,194589,2390,52.0
128,warm,False,298,0.28469,338924,6150,51.0
128,warm,False,297,0.304919,372560,2120,51.0
128,warm,False,338,0.254953,304860,9530,51.0
128,warm,False,305,0.263923,326250,19910,51.0
128,warm,False,307,0.291916,352068,14870,52.0
128,warm,False,286,0.317043,363441,1870,51.0
128,warm,False,297,0.327475,375933,2000,51.0
128,warm,False,392,0.299938,361361,31110,51.0
128,warm,False,343,0.339593,404716,2150,52.0
128,warm,False,299,0.251986,316089,11700,51.0
128,warm,False,305,0.287896,344502,1970,52.0
128,warm,False,331,0.327959,374158,9080,51.0
128,warm,False,297,0.280886,328837,6590,52.0
128,warm,False,305,0.251012,308828,2000,51.0
128,warm,False,306,0.316381,358884,1940,51.0
128,warm,False,298,0.266599,316353,2320,51.0
128,warm,False,310,0.323671,386983,14180,51.0
128,warm,False,282,0.277435,328861,1860,51.0
128,warm,False,286,0.25725,311983,1890,51.0
128,warm,False,294,0.250126,310567,17650,51.0
128,warm,False,283,0.316164,367158,1940,52.0
128,warm,False,350,0.245386,322058,1960,52.0
128,warm,False,285,0.314815,366316,1980,52.0
128,warm,False,287,0.246455,318651,20220,52.0
128,warm,False,290,0.325869,373491,1950,51.0
128,warm,False,298,0.338148,403628,2020,51.0
256,warm,False,306,0.202165,253445,2050,52.0
256,warm,False,291,0.281935,327476,2020,51.0
256,warm,False,297,0.306213,364854,12710,51.0
256,warm,False,291,0.228061,281603,1870,51.0
256,warm,False,293,0.329316,377156,1820,51.0
256,warm,False,286,0.277599,326316,1800,51.0
256,warm,False,362,0.170636,258827,9190,52.0
256,warm,False,296,0.263425,325989,9010,52.0
256,warm,False,286,0.298611,349942,1860,51.0
256,warm,False,289,0.278177,331071,2120,52.0
256,warm,False,295,0.306802,354809,2260,52.0
256,warm,False,290,0.183976,245649,1930,51.0
256,warm,False,297,0.276367,330589,2120,52.0
256,warm,False,311,0.357531,416356,13900,51.0
256,warm,False,300,0.255214,321541,1960,51.0
256,warm,False,535,0.218673,265854,2380,52.0
256,warm,False,326,0.257402,315030,1930,51.0
256,warm,False,306,0.233463,282474,2920,51.0
256,warm,False,318,0.31491,364845,1920,52.0
256,warm,False,308,0.373184,433183,2420,51.0
256,warm,False,290,0.322425,372835,7600,52.0
256,warm,False,289,0.28163,334102,1990,51.0
256,warm,False,305,0.339592,397662,4190,52.0
256,warm,False,287,0.16601,278177,14440,51.0
256,warm,False,297,0.164423,211591,1910,51.0
256,warm,False,294,0.282137,333383,6010,52.0
256,warm,False,306,0.316637,377156,10160,52.0
256,warm,False,468,0.30099,348081,2150,51.0
256,warm,False,297,0.262671,312909,2060,51.0
256,warm,False,398,0.282864,332295,2220,51.0
256,warm,False,305,0.171966,253443,2320,51.0
256,warm,False,437,0.281519,329143,12780,52.0
256,warm,False,284,0.247349,302427,9910,52.0
256,warm,False,296,0.218784,275844,7110,52.0
256,warm,False,284,0.326009,374492,2090,52.0
256,warm,False,299,0.304315,350072,2240,52.0
256,warm,False,323,0.276475,325915,2120,52.0
256,warm,False,316,0.244708,299837,2400,52.0
256,warm,False,314,0.269967,318390,13650,52.0
256,warm,False,300,0.201066,248597,1970,51.0
256,warm,False,290,0.314271,364120,2470,51.0
256,warm,False,295,0.319674,368137,8620,52.0
256,warm,False,287,0.248509,299491,2070,52.0
256,warm,False,294,0.166682,252178,2190,51.0
256,warm,False,300,0.247521,295607,1990,51.0
256,warm,False,314,0.26059,307124,2280,52.0
256,warm,False,307,0.289988,338552,8870,52.0
256,warm,False,300,0.32696,375698,2060,51.0
256,warm,False,290,0.361453,409911,1750,52.0
256,warm,False,296,0.210778,260872,9160,52.0
512,cold,True,247676,0.298958,862930,250770,50.0
512,cold,True,249224,0.193823,718989,252780,51.0
512,cold,True,233745,0.232038,723841,250590,50.0
512,cold,True,253776,0.217646,889669,272940,50.0
512,cold,True,280352,0.195645,802191,284180,50.0
512,cold,True,264752,0.268739,807001,267890,50.0
512,cold,True,252426,0.307231,867937,255790,51.0
512,cold,True,245619,0.242474,807414,262490,50.0
