benchmark,memory,architecture,cold_avg_client_time,warm_avg_client_time
110.dynamic-html,128,ARM,2348562.46,357129.9
110.dynamic-html,128,x86,2298089.38,371991.78
110.dynamic-html,256,ARM,1062751.08,336615.18
110.dynamic-html,256,x86,998029.06,306380.6
110.dynamic-html,512,ARM,810234.2448979592,368200.36
110.dynamic-html,512,x86,752895.98,331245.02
110.dynamic-html,1024,ARM,690072.02,319976.82
110.dynamic-html,1024,x86,648587.16,318462.62
120.uploader,128,ARM,6708638.22,1064880.08
120.uploader,128,x86,6466172.5,897090.66
120.uploader,256,ARM,4275252.28,776082.44
120.uploader,256,x86,3885596.64,659056.36
120.uploader,512,ARM,2315189.62,621738.16
120.uploader,512,x86,2346921.9,519281.04
120.uploader,1024,ARM,2081342.84,519641.92
120.uploader,1024,x86,1802886.32,475645.94
210.thumbnailer,128,ARM,8373910.72,2329895.2
210.thumbnailer,128,x86,8322819.02,2299959.38
210.thumbnailer,256,ARM,4337741.68,881644.78
210.thumbnailer,256,x86,4286090.08,1005922.94
210.thumbnailer,512,ARM,2401816.58,662675.68
210.thumbnailer,512,x86,2358199.34,634057.22
210.thumbnailer,1024,ARM,2288288.92,501868.48
210.thumbnailer,1024,x86,2317055.44,566701.06
220.video-processing,512,ARM,12760009.3,10352747.34
220.video-processing,512,x86,11471227.2,8285495.92
220.video-processing,1024,ARM,6837186.0,5018027.36
220.video-processing,1024,x86,6285032.12,4272769.98
220.video-processing,2048,ARM,4315829.94,2848464.44
220.video-processing,2048,x86,4307220.4,2387242.24
220.video-processing,4096,ARM,3011370.38,2309686.9
220.video-processing,4096,x86,2919137.62,2349918.16
311.compression,256,ARM,10526736.5,7108367.68
311.compression,256,x86,10334848.5,7620200.52
311.compression,512,ARM,6296918.68,4355082.92
311.compression,512,x86,6249714.1,4386437.2
311.compression,1024,ARM,4357341.1,3068592.2
311.compression,1024,x86,4310546.4,3249680.26
311.compression,2048,ARM,3716898.7,2601798.52
311.compression,2048,x86,3944530.72,2715940.18
501.graph-pagerank,128,ARM,2378533.92,411941.72
501.graph-pagerank,128,x86,2290989.32,331493.86
501.graph-pagerank,256,ARM,2043362.8,318986.22
501.graph-pagerank,256,x86,1153755.3,283149.3
501.graph-pagerank,512,ARM,964719.8585858586,331382.34
501.graph-pagerank,512,x86,834815.78,308062.82
501.graph-pagerank,1024,ARM,816683.9484536082,364451.3
501.graph-pagerank,1024,x86,745380.72,365890.18
502.graph-mst,128,ARM,2308289.56,343468.4
502.graph-mst,128,x86,2300671.32,345111.52
502.graph-mst,256,ARM,1789070.88,337733.82
502.graph-mst,256,x86,1215168.04,323501.0
502.graph-mst,512,ARM,919359.8,313749.56
502.graph-mst,512,x86,819085.88,318343.82
502.graph-mst,1024,ARM,753327.16,332734.98
502.graph-mst,1024,x86,708956.04,346473.58
503.graph-bfs,128,ARM,2313404.56,362978.84
503.graph-bfs,128,x86,2293552.88,334011.52
503.graph-bfs,256,ARM,1359504.54,296422.56
503.graph-bfs,256,x86,1141079.36,337149.0
503.graph-bfs,512,ARM,854119.2,326556.76
503.graph-bfs,512,x86,858209.86,289116.78
503.graph-bfs,1024,ARM,669466.54,309902.04
503.graph-bfs,1024,x86,692944.66,291668.34
