benchmark,memory,architecture,cold_avg_exec_time,warm_avg_exec_time
110.dynamic-html,128,ARM,934561.12,3307.04
110.dynamic-html,128,x86,986710.24,7074.56
110.dynamic-html,256,ARM,434897.92,2088.44
110.dynamic-html,256,x86,463165.16,2494.64
110.dynamic-html,512,ARM,201152.02040816325,1860.66
110.dynamic-html,512,x86,213570.14,2220.88
110.dynamic-html,1024,ARM,94485.36,1842.04
110.dynamic-html,1024,x86,100295.56,1895.8
120.uploader,128,ARM,6125624.72,682239.74
120.uploader,128,x86,5879460.04,594145.96
120.uploader,256,ARM,2963004.64,404177.16
120.uploader,256,x86,2772878.92,350709.56
120.uploader,512,ARM,1483614.26,266255.94
120.uploader,512,x86,1428624.02,232875.56
120.uploader,1024,ARM,842216.9,204515.08
120.uploader,1024,x86,771555.96,188315.6
210.thumbnailer,128,ARM,7562469.22,1225293.88
210.thumbnailer,128,x86,7445055.1,1182991.72
210.thumbnailer,256,ARM,3665704.08,627883.36
210.thumbnailer,256,x86,3570472.42,599079.8
210.thumbnailer,512,ARM,1774166.9,341117.44
210.thumbnailer,512,x86,1734806.54,328614.3
210.thumbnailer,1024,ARM,909272.92,225477.38
210.thumbnailer,1024,x86,886905.32,225216.76
220.video-processing,512,ARM,11925450.28,9375657.3
220.video-processing,512,x86,10297327.76,7595331.86
220.video-processing,1024,ARM,5988755.26,4728512.02
220.video-processing,1024,x86,5145478.88,3853803.62
220.video-processing,2048,ARM,3276353.5,2505852.22
220.video-processing,2048,x86,2866798.92,2081138.68
220.video-processing,4096,ARM,2215611.08,1522570.28
220.video-processing,4096,x86,2059687.74,1277840.98
311.compression,256,ARM,9537092.56,6758279.64
311.compression,256,x86,9600881.86,6951792.92
311.compression,512,ARM,4881926.08,3673224.34
311.compression,512,x86,5134299.96,3841010.12
311.compression,1024,ARM,3428321.56,2670273.64
311.compression,1024,x86,3553424.04,2877817.66
311.compression,2048,ARM,2764923.64,2329243.4
311.compression,2048,x86,2848238.62,2436089.26
501.graph-pagerank,128,ARM,1569487.98,327.74
501.graph-pagerank,128,x86,1234351.62,328.9
501.graph-pagerank,256,ARM,738243.42,332.32
501.graph-pagerank,256,x86,591488.28,318.3
501.graph-pagerank,512,ARM,347321.75757575757,330.76
501.graph-pagerank,512,x86,276030.98,307.3
501.graph-pagerank,1024,ARM,161175.88659793814,333.34
501.graph-pagerank,1024,x86,135544.18,317.98
502.graph-mst,128,ARM,1497210.6,317.4
502.graph-mst,128,x86,1127990.88,302.82
502.graph-mst,256,ARM,717100.08,515.44
502.graph-mst,256,x86,538570.36,312.9
502.graph-mst,512,ARM,335330.74,319.06
502.graph-mst,512,x86,251265.6,297.16
502.graph-mst,1024,ARM,159657.0,305.18
502.graph-mst,1024,x86,122295.22,326.44
503.graph-bfs,128,ARM,1473288.54,308.28
503.graph-bfs,128,x86,1122472.58,294.96
503.graph-bfs,256,ARM,694417.5,302.88
503.graph-bfs,256,x86,537343.52,295.42
503.graph-bfs,512,ARM,327302.36,307.36
503.graph-bfs,512,x86,252167.32,277.92
503.graph-bfs,1024,ARM,158944.72,300.66
503.graph-bfs,1024,x86,119459.38,300.6
