benchmark,memory,Avg cold exec_time (ARM),Avg cold exec_time (x86),Avg warm exec_time (ARM),Avg warm exec_time (x86)
110.dynamic-html,128,934561.12,986710.24,3307.04,7074.56
110.dynamic-html,256,434897.92,463165.16,2088.44,2494.64
110.dynamic-html,512,201152.02040816325,213570.14,1860.66,2220.88
110.dynamic-html,1024,94485.36,100295.56,1842.04,1895.8
120.uploader,128,6125624.72,5879460.04,682239.74,594145.96
120.uploader,256,2963004.64,2772878.92,404177.16,350709.56
120.uploader,512,1483614.26,1428624.02,266255.94,232875.56
120.uploader,1024,842216.9,771555.96,204515.08,188315.6
210.thumbnailer,128,7562469.22,7445055.1,1225293.88,1182991.72
210.thumbnailer,256,3665704.08,3570472.42,627883.36,599079.8
210.thumbnailer,512,1774166.9,1734806.54,341117.44,328614.3
210.thumbnailer,1024,909272.92,886905.32,225477.38,225216.76
220.video-processing,512,11925450.28,10297327.76,9375657.3,7595331.86
220.video-processing,1024,5988755.26,5145478.88,4728512.02,3853803.62
220.video-processing,2048,3276353.5,2866798.92,2505852.22,2081138.68
220.video-processing,4096,2215611.08,2059687.74,1522570.28,1277840.98
311.compression,256,9537092.56,9600881.86,6758279.64,6951792.92
311.compression,512,4881926.08,5134299.96,3673224.34,3841010.12
311.compression,1024,3428321.56,3553424.04,2670273.64,2877817.66
311.compression,2048,2764923.64,2848238.62,2329243.4,2436089.26
501.graph-pagerank,128,1569487.98,1234351.62,327.74,328.9
501.graph-pagerank,256,738243.42,591488.28,332.32,318.3
501.graph-pagerank,512,347321.75757575757,276030.98,330.76,307.3
501.graph-pagerank,1024,161175.88659793814,135544.18,333.34,317.98
502.graph-mst,128,1497210.6,1127990.88,317.4,302.82
502.graph-mst,256,717100.08,538570.36,515.44,312.9
502.graph-mst,512,335330.74,251265.6,319.06,297.16
502.graph-mst,1024,159657.0,122295.22,305.18,326.44
503.graph-bfs,128,1473288.54,1122472.58,308.28,294.96
503.graph-bfs,256,694417.5,537343.52,302.88,295.42
503.graph-bfs,512,327302.36,252167.32,307.36,277.92
503.graph-bfs,1024,158944.72,119459.38,300.66,300.6
