benchmark,memory,architecture,cold_avg_exec_time,warm_avg_exec_time
110.dynamic-html,128 MB,ARM,934561.12 ms,3307.04 ms
110.dynamic-html,128 MB,x86,986710.24 ms,7074.56 ms
110.dynamic-html,256 MB,ARM,434897.92 ms,2088.44 ms
110.dynamic-html,256 MB,x86,463165.16 ms,2494.64 ms
110.dynamic-html,512 MB,ARM,201152.02 ms,1860.66 ms
110.dynamic-html,512 MB,x86,213570.14 ms,2220.88 ms
110.dynamic-html,1024 MB,ARM,94485.36 ms,1842.04 ms
110.dynamic-html,1024 MB,x86,100295.56 ms,1895.80 ms
120.uploader,128 MB,ARM,6125624.72 ms,682239.74 ms
120.uploader,128 MB,x86,5879460.04 ms,594145.96 ms
120.uploader,256 MB,ARM,2963004.64 ms,404177.16 ms
120.uploader,256 MB,x86,2772878.92 ms,350709.56 ms
120.uploader,512 MB,ARM,1483614.26 ms,266255.94 ms
120.uploader,512 MB,x86,1428624.02 ms,232875.56 ms
120.uploader,1024 MB,ARM,842216.90 ms,204515.08 ms
120.uploader,1024 MB,x86,771555.96 ms,188315.60 ms
210.thumbnailer,128 MB,ARM,7562469.22 ms,1225293.88 ms
210.thumbnailer,128 MB,x86,7445055.10 ms,1182991.72 ms
210.thumbnailer,256 MB,ARM,3665704.08 ms,627883.36 ms
210.thumbnailer,256 MB,x86,3570472.42 ms,599079.80 ms
210.thumbnailer,512 MB,ARM,1774166.90 ms,341117.44 ms
210.thumbnailer,512 MB,x86,1734806.54 ms,328614.30 ms
210.thumbnailer,1024 MB,ARM,909272.92 ms,225477.38 ms
210.thumbnailer,1024 MB,x86,886905.32 ms,225216.76 ms
220.video-processing,512 MB,ARM,11925450.28 ms,9375657.30 ms
220.video-processing,512 MB,x86,10297327.76 ms,7595331.86 ms
220.video-processing,1024 MB,ARM,5988755.26 ms,4728512.02 ms
220.video-processing,1024 MB,x86,5145478.88 ms,3853803.62 ms
220.video-processing,2048 MB,ARM,3276353.50 ms,2505852.22 ms
220.video-processing,2048 MB,x86,2866798.92 ms,2081138.68 ms
220.video-processing,4096 MB,ARM,2215611.08 ms,1522570.28 ms
220.video-processing,4096 MB,x86,2059687.74 ms,1277840.98 ms
311.compression,256 MB,ARM,9537092.56 ms,6758279.64 ms
311.compression,256 MB,x86,9600881.86 ms,6951792.92 ms
311.compression,512 MB,ARM,4881926.08 ms,3673224.34 ms
311.compression,512 MB,x86,5134299.96 ms,3841010.12 ms
311.compression,1024 MB,ARM,3428321.56 ms,2670273.64 ms
311.compression,1024 MB,x86,3553424.04 ms,2877817.66 ms
311.compression,2048 MB,ARM,2764923.64 ms,2329243.40 ms
311.compression,2048 MB,x86,2848238.62 ms,2436089.26 ms
501.graph-pagerank,128 MB,ARM,1569487.98 ms,327.74 ms
501.graph-pagerank,128 MB,x86,1234351.62 ms,328.90 ms
501.graph-pagerank,256 MB,ARM,738243.42 ms,332.32 ms
501.graph-pagerank,256 MB,x86,591488.28 ms,318.30 ms
501.graph-pagerank,512 MB,ARM,347321.76 ms,330.76 ms
501.graph-pagerank,512 MB,x86,276030.98 ms,307.30 ms
501.graph-pagerank,1024 MB,ARM,161175.89 ms,333.34 ms
501.graph-pagerank,1024 MB,x86,135544.18 ms,317.98 ms
502.graph-mst,128 MB,ARM,1497210.60 ms,317.40 ms
502.graph-mst,128 MB,x86,1127990.88 ms,302.82 ms
502.graph-mst,256 MB,ARM,717100.08 ms,515.44 ms
502.graph-mst,256 MB,x86,538570.36 ms,312.90 ms
502.graph-mst,512 MB,ARM,335330.74 ms,319.06 ms
502.graph-mst,512 MB,x86,251265.60 ms,297.16 ms
502.graph-mst,1024 MB,ARM,159657.00 ms,305.18 ms
502.graph-mst,1024 MB,x86,122295.22 ms,326.44 ms
503.graph-bfs,128 MB,ARM,1473288.54 ms,308.28 ms
503.graph-bfs,128 MB,x86,1122472.58 ms,294.96 ms
503.graph-bfs,256 MB,ARM,694417.50 ms,302.88 ms
503.graph-bfs,256 MB,x86,537343.52 ms,295.42 ms
503.graph-bfs,512 MB,ARM,327302.36 ms,307.36 ms
503.graph-bfs,512 MB,x86,252167.32 ms,277.92 ms
503.graph-bfs,1024 MB,ARM,158944.72 ms,300.66 ms
503.graph-bfs,1024 MB,x86,119459.38 ms,300.60 ms
