benchmark,memory,architecture,cold_avg_mem_used,warm_avg_mem_used
110.dynamic-html,128,ARM,46.38,47.28
110.dynamic-html,128,x86,46.68,47.12
110.dynamic-html,256,ARM,46.58,47.48
110.dynamic-html,256,x86,46.84,47.74
110.dynamic-html,512,ARM,48.44897959183673,50.02
110.dynamic-html,512,x86,46.66,47.7
110.dynamic-html,1024,ARM,48.62,50.68
110.dynamic-html,1024,x86,46.78,47.48
120.uploader,128,ARM,82.9,84.98
120.uploader,128,x86,82.84,85.0
120.uploader,256,ARM,82.9,85.0
120.uploader,256,x86,82.88,85.0
120.uploader,512,ARM,85.34,88.06
120.uploader,512,x86,82.8,84.84
120.uploader,1024,ARM,85.28,88.34
120.uploader,1024,x86,82.9,84.98
210.thumbnailer,128,ARM,94.98,96.26
210.thumbnailer,128,x86,94.6,96.18
210.thumbnailer,256,ARM,95.0,96.46
210.thumbnailer,256,x86,94.76,96.34
210.thumbnailer,512,ARM,97.2,99.44
210.thumbnailer,512,x86,94.72,96.24
210.thumbnailer,1024,ARM,97.36,99.16
210.thumbnailer,1024,x86,94.7,96.24
220.video-processing,512,ARM,320.9,325.18
220.video-processing,512,x86,329.5,331.1
220.video-processing,1024,ARM,320.86,321.54
220.video-processing,1024,x86,328.5,329.1
220.video-processing,2048,ARM,320.06,320.36
220.video-processing,2048,x86,326.3,327.44
220.video-processing,4096,ARM,326.64,326.88
220.video-processing,4096,x86,334.06,335.06
311.compression,256,ARM,105.68,149.5
311.compression,256,x86,105.58,148.82
311.compression,512,ARM,108.78,152.92
311.compression,512,x86,105.46,149.56
311.compression,1024,ARM,108.72,153.7
311.compression,1024,x86,105.36,149.6
311.compression,2048,ARM,108.54,153.18
311.compression,2048,x86,105.3,149.74
501.graph-pagerank,128,ARM,50.38,51.18
501.graph-pagerank,128,x86,51.0,51.72
501.graph-pagerank,256,ARM,50.44,51.6
501.graph-pagerank,256,x86,51.0,51.96
501.graph-pagerank,512,ARM,52.61616161616162,54.56
501.graph-pagerank,512,x86,51.0,52.02
501.graph-pagerank,1024,ARM,52.628865979381445,54.12
501.graph-pagerank,1024,x86,51.0,51.98
