Benchmark,Memory Size,ARM Cold Avg (ms),ARM Warm Avg (ms),x86 Cold Avg (ms),x86 Warm Avg (ms)
110.dynamic-html,128,2348562.46,357129.9,2298089.38,371991.78
110.dynamic-html,256,1062751.08,336615.18,998029.06,306380.6
110.dynamic-html,512,810234.2448979592,368200.36,752895.98,331245.02
110.dynamic-html,1024,690072.02,319976.82,648587.16,318462.62
120.uploader,128,6708638.22,1064880.08,6466172.5,897090.66
120.uploader,256,4275252.28,776082.44,3885596.64,659056.36
120.uploader,512,2315189.62,621738.16,2346921.9,519281.04
120.uploader,1024,2081342.84,519641.92,1802886.32,475645.94
210.thumbnailer,128,8373910.72,2329895.2,8322819.02,2299959.38
210.thumbnailer,256,4337741.68,881644.78,4286090.08,1005922.94
210.thumbnailer,512,2401816.58,662675.68,2358199.34,634057.22
210.thumbnailer,1024,2288288.92,501868.48,2317055.44,566701.06
220.video-processing,512,12760009.3,10352747.34,11471227.2,8285495.92
220.video-processing,1024,6837186.0,5018027.36,6285032.12,4272769.98
220.video-processing,2048,4315829.94,2848464.44,4307220.4,2387242.24
220.video-processing,4096,3011370.38,2309686.9,2919137.62,2349918.16
311.compression,256,10526736.5,7108367.68,10334848.5,7620200.52
311.compression,512,6296918.68,4355082.92,6249714.1,4386437.2
311.compression,1024,4357341.1,3068592.2,4310546.4,3249680.26
311.compression,2048,3716898.7,2601798.52,3944530.72,2715940.18
501.graph-pagerank,128,2378533.92,411941.72,2290989.32,331493.86
501.graph-pagerank,256,2043362.8,318986.22,1153755.3,283149.3
501.graph-pagerank,512,964719.8585858586,331382.34,834815.78,308062.82
501.graph-pagerank,1024,816683.9484536082,364451.3,745380.72,365890.18
