Benchmark,Memory Size,ARM Cold Ratio,ARM Warm Ratio,x86 Cold Ratio,x86 Warm Ratio
110.dynamic-html,128,1364965.8148374963,7603733.812044965,1062563.8611368267,6183361.635936302
110.dynamic-html,256,661183.4757108865,10208823.5434211,486183.47421082837,8141475.001063602
110.dynamic-html,512,543464.82696203,10617190.931638846,395047.1084293346,6739183.705877379
110.dynamic-html,1024,487576.0328640355,5688273.0746768,358587.2608048141,4442829.00496699
120.uploader,128,639844.8827873792,902209.5088416949,514334.1507921842,698684.7536872168
120.uploader,256,421978.8064945457,558970.3154438057,327799.0954978503,437184.4940647264
120.uploader,512,228009.92940952783,338768.3023690595,191992.57249391256,258553.38701882074
120.uploader,1024,180101.2976209929,183809.14053847583,136229.3137279247,146037.64177964727
210.thumbnailer,128,647406.4204994328,1102095.8609181282,522908.2153385393,902843.7704480235
210.thumbnailer,256,345969.83658131363,409092.90391719196,280961.6695752344,391736.5371810862
210.thumbnailer,512,197822.233034428,282512.0705959334,158957.58027194688,224264.85531174173
210.thumbnailer,1024,183572.9677983875,161175.8376027904,152359.71591564018,145853.78996849406
220.video-processing,512,156687.86217488773,161700.84502948317,130504.17534924897,127792.83316079978
220.video-processing,1024,83567.73544056086,77680.11107554221,71524.01807324454,64920.91343123128
220.video-processing,2048,48183.216345957815,41582.30157616702,43964.52023906163,33563.653022807215
220.video-processing,4096,24847.714300014664,27721.534624162272,20727.847102721254,26877.92648688537
311.compression,256,323201.573468592,308022.1361458753,252170.13474928524,256816.77881499942
311.compression,512,188794.1972294152,173560.23404431465,142537.08605702702,133742.66450173472
311.compression,1024,92986.14213654112,84084.43321000782,71000.23978271679,66108.81375751883
311.compression,2048,49157.529187959924,40862.98885721819,40521.12357134379,32629.792178918302
501.graph-pagerank,128,877203.1335278756,35391626.79003321,846376.2361499724,27165635.681840517
501.graph-pagerank,256,798823.6617563909,19071944.260814406,444257.832713059,13433802.522577142
501.graph-pagerank,512,399162.6641760867,15967793.503446136,344228.63673185394,15297050.642657185
501.graph-pagerank,1024,360849.28919501876,8957408.383836856,312452.169218569,7496096.103743105
