Benchmark,Memory Size,ARM Cold Ratio,ARM Warm Ratio,x86 Cold Ratio,x86 Warm Ratio
110.dynamic-html,128,1219777.9284407073,1418489.7342534068,970650.0529689606,1403953.8461513934
110.dynamic-html,256,586459.7375198682,1415699.9732603543,442078.6126999088,1263779.141709538
110.dynamic-html,512,477826.0311662519,1537501.7262494625,356714.79873406526,1304360.2404240598
110.dynamic-html,1024,425941.0375198382,1225720.5541971931,322114.6434211746,1151846.2632787894
120.uploader,128,627586.2038933845,768809.6224749333,506089.8158848196,602571.4635423693
120.uploader,256,413617.80935931916,487117.38718915056,322231.7481775413,384895.0024738249
120.uploader,512,223501.9852181218,304760.12623038533,188828.95239361573,234628.07075445147
120.uploader,1024,176965.189576146,171393.01762725774,134153.2843859269,137398.08151634413
210.thumbnailer,128,637315.4468317734,1004759.5096577441,516265.3123174512,835661.7706989525
210.thumbnailer,256,340409.4358332801,373590.7746129605,277239.7140846311,362801.2316353463
210.thumbnailer,512,194540.70811871195,259826.51614171648,156793.08035110967,209116.97033513663
210.thumbnailer,1024,180605.6829736959,151229.21445662287,150335.18543888238,138550.76837786508
220.video-processing,512,156294.8021732201,161185.24621084094,130200.8154428155,127390.43612999759
220.video-processing,1024,83359.07310307665,77434.61649056565,71357.70926370002,64719.522289834866
220.video-processing,2048,48073.29922511425,41458.35351880015,43872.8072981316,33467.28716427312
220.video-processing,4096,24805.795833398064,27653.560258695732,20697.748060570422,26815.113042490033
311.compression,256,321181.99441693624,305312.6508585959,250916.27684252674,255056.3314051824
311.compression,512,187642.01651718578,172155.145288685,141874.40929094367,132912.7095524284
311.compression,1024,92581.51880214346,83615.19691883562,70761.53852333991,65834.52853244754
311.compression,2048,49024.7424830346,40731.97360029798,40436.05192566116,32549.703506099973
501.graph-pagerank,128,815600.6342503813,1903264.7584069683,786843.134644413,1527602.5304682173
501.graph-pagerank,256,739607.9490999687,1439953.141167535,411784.88327199616,1253553.1696712256
501.graph-pagerank,512,367980.68547814304,1469198.3241259982,317423.0817503905,1369541.1705051472
501.graph-pagerank,1024,330905.5622386584,1484604.4676647487,287749.1838143245,1442723.3837144845
