benchmark,memory,architecture,mean_client_time,median_client_time,std_client_time,advantage
110.dynamic-html,128,ARM,357129.9,361589.0,50864.51668142236,"ARM, 4.16% faster"
110.dynamic-html,128,x86,371991.78,372075.0,42339.72930238916,"ARM, 4.16% faster"
110.dynamic-html,256,ARM,336615.18,341458.5,47689.48932232429,"x86, 9.87% faster"
110.dynamic-html,256,x86,306380.6,292774.0,46957.9246890452,"x86, 9.87% faster"
110.dynamic-html,512,ARM,368200.36,364878.0,36477.22632041833,"x86, 11.16% faster"
110.dynamic-html,512,x86,331245.02,330042.0,35959.5901145115,"x86, 11.16% faster"
110.dynamic-html,1024,ARM,319976.82,318830.0,54389.019976721065,"x86, 0.48% faster"
110.dynamic-html,1024,x86,318462.62,311876.5,38499.68997059905,"x86, 0.48% faster"
120.uploader,128,ARM,1064880.08,1065623.0,78665.62576872637,"x86, 18.70% faster"
120.uploader,128,x86,897090.66,901342.5,80851.35832554776,"x86, 18.70% faster"
120.uploader,256,ARM,776082.44,776130.0,65902.99945921142,"x86, 17.76% faster"
120.uploader,256,x86,659056.36,647470.0,78640.08645015696,"x86, 17.76% faster"
120.uploader,512,ARM,621738.16,628725.0,80791.67382145164,"x86, 19.73% faster"
120.uploader,512,x86,519281.04,529301.5,57848.32244228108,"x86, 19.73% faster"
120.uploader,1024,ARM,519641.92,515669.0,66691.74826319696,"x86, 9.25% faster"
120.uploader,1024,x86,475645.94,470685.5,63839.89436382303,"x86, 9.25% faster"
210.thumbnailer,128,ARM,2329895.2,2324899.0,51970.4854520568,"x86, 1.30% faster"
210.thumbnailer,128,x86,2299959.38,2288859.5,37765.89203959722,"x86, 1.30% faster"
210.thumbnailer,256,ARM,881644.78,882172.5,53986.440797776595,"ARM, 14.10% faster"
210.thumbnailer,256,x86,1005922.94,1014708.0,77807.99986450427,"ARM, 14.10% faster"
210.thumbnailer,512,ARM,662675.68,671070.5,68010.56110767816,"x86, 4.51% faster"
210.thumbnailer,512,x86,634057.22,644576.0,52051.77793873392,"x86, 4.51% faster"
210.thumbnailer,1024,ARM,501868.48,499287.5,55987.54699010288,"ARM, 12.92% faster"
210.thumbnailer,1024,x86,566701.06,569167.0,47782.34987618549,"ARM, 12.92% faster"
220.video-processing,512,ARM,10352747.34,10368203.5,80154.8595197894,"x86, 24.95% faster"
220.video-processing,512,x86,8285495.92,8367563.0,386739.94388102135,"x86, 24.95% faster"
220.video-processing,1024,ARM,5018027.36,5010084.0,95400.59020541343,"x86, 17.44% faster"
220.video-processing,1024,x86,4272769.98,4301919.0,159774.2889746875,"x86, 17.44% faster"
220.video-processing,2048,ARM,2848464.44,2850601.0,68635.72931512249,"x86, 19.32% faster"
220.video-processing,2048,x86,2387242.24,2371148.5,75964.10665371067,"x86, 19.32% faster"
220.video-processing,4096,ARM,2309686.9,2312074.5,52735.7386204739,"ARM, 1.74% faster"
220.video-processing,4096,x86,2349918.16,2357184.0,37988.83131806838,"ARM, 1.74% faster"
311.compression,256,ARM,7108367.68,7002594.5,768047.6232660777,"ARM, 7.20% faster"
311.compression,256,x86,7620200.52,7230094.0,604638.717626611,"ARM, 7.20% faster"
311.compression,512,ARM,4355082.92,4359949.5,48385.91777376749,"ARM, 0.72% faster"
311.compression,512,x86,4386437.2,4330617.0,294842.2830930296,"ARM, 0.72% faster"
311.compression,1024,ARM,3068592.2,3025256.5,285965.14158283325,"ARM, 5.90% faster"
311.compression,1024,x86,3249680.26,3103304.0,798971.1824068018,"ARM, 5.90% faster"
311.compression,2048,ARM,2601798.52,2550749.0,276381.6443162399,"ARM, 4.39% faster"
311.compression,2048,x86,2715940.18,2661820.5,262303.10689343064,"ARM, 4.39% faster"
501.graph-pagerank,128,ARM,411941.72,409271.5,36369.424525105525,"x86, 24.27% faster"
501.graph-pagerank,128,x86,331493.86,337677.5,43946.63134962679,"x86, 24.27% faster"
501.graph-pagerank,256,ARM,318986.22,313575.0,46868.48658128402,"x86, 12.66% faster"
501.graph-pagerank,256,x86,283149.3,285578.5,57211.85019900926,"x86, 12.66% faster"
501.graph-pagerank,512,ARM,331382.34,341989.0,64430.72527461298,"x86, 7.57% faster"
501.graph-pagerank,512,x86,308062.82,326640.0,56160.30834981705,"x86, 7.57% faster"
501.graph-pagerank,1024,ARM,364451.3,364199.5,32658.488202041102,"ARM, 0.39% faster"
501.graph-pagerank,1024,x86,365890.18,306761.0,218836.9701045003,"ARM, 0.39% faster"
